marca_fonte,grupo_economico,vigencia_inicio,vigencia_fim,fonte,observacao
FIAT,FIAT,2003-01,2014-09,Fiat S.p.A.,Antes da constituicao da FCA N.V.
FIAT,FCA,2014-10,2020-12,"Fusao Fiat S.p.A. + Chrysler Group em FCA N.V., 12/10/2014",
FIAT,STELLANTIS,2021-01,,Fusao FCA + Groupe PSA concluida em 16/01/2021 (D4),
JEEP,CHRYSLER,2003-01,2014-09,Chrysler Group LLC,
JEEP,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
JEEP,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
RAM,CHRYSLER,2010-01,2014-09,Marca RAM separada da Dodge em 2010,
RAM,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
RAM,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
DODGE,CHRYSLER,2003-01,2014-09,propriedade estavel no periodo coberto; sem evento datado a registrar,
DODGE,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
DODGE,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
CHRYSLER,CHRYSLER,2003-01,2014-09,marca independente; sem evento societario no periodo coberto,
CHRYSLER,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
CHRYSLER,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
ALFA ROMEO,FIAT,2003-01,2014-09,propriedade estavel no periodo coberto; sem evento datado a registrar,
ALFA ROMEO,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
ALFA ROMEO,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
LANCIA,FIAT,2003-01,2014-09,propriedade estavel no periodo coberto; sem evento datado a registrar,
LANCIA,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
LANCIA,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
MASERATI,FIAT,2003-01,2014-09,propriedade estavel no periodo coberto; sem evento datado a registrar,
MASERATI,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
MASERATI,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
FERRARI,FIAT,2003-01,2014-09,propriedade estavel no periodo coberto; sem evento datado a registrar,
FERRARI,FCA,2014-10,2015-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
FERRARI,FERRARI,2016-01,,Cisao da FCA concluida em 03/01/2016,Controle Exor; grupo proprio
ABARTH,FIAT,2003-01,2014-09,propriedade estavel no periodo coberto; sem evento datado a registrar,
ABARTH,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
ABARTH,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
PEUGEOT,PSA,2003-01,2020-12,Groupe PSA (D4),
PEUGEOT,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
CITROEN,PSA,2003-01,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
CITROEN,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
DS,PSA,2014-06,2020-12,DS como marca autonoma a partir de 06/2014,
DS,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
OPEL,GENERAL MOTORS,2003-01,2017-07,propriedade estavel no periodo coberto; sem evento datado a registrar,
OPEL,PSA,2017-08,2020-12,"Venda da Opel/Vauxhall pela GM ao Groupe PSA, 01/08/2017",
OPEL,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
VW,VOLKSWAGEN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
VW TRUCK E BUS,VOLKSWAGEN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,"Volkswagen Caminhoes e Onibus; sob a Traton, do grupo VW"
AUDI,VOLKSWAGEN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
PORSCHE,VOLKSWAGEN,2012-08,,Integracao total ao grupo VW em 01/08/2012,
PORSCHE,PORSCHE,2003-01,2012-07,marca independente; sem evento societario no periodo coberto,Porsche SE independente antes da integracao
SEAT,VOLKSWAGEN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
SKODA,VOLKSWAGEN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
LAMBORGHINI,VOLKSWAGEN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
BENTLEY,VOLKSWAGEN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
BUGATTI,VOLKSWAGEN,2003-01,2021-10,propriedade estavel no periodo coberto; sem evento datado a registrar,
GM,GENERAL MOTORS,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,Marca Chevrolet no Brasil
CHEVROLET,GENERAL MOTORS,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
CADILLAC,GENERAL MOTORS,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
FORD,FORD,2003-01,,marca independente; sem evento societario no periodo coberto,
LINCOLN,FORD,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
TROLLER,TROLLER,2003-01,2006-12,marca independente; sem evento societario no periodo coberto,Independente antes da compra pela Ford
TROLLER,FORD,2007-01,,Aquisicao pela Ford em 2007,
LAND ROVER,FORD,2003-01,2008-05,Premier Automotive Group (Ford),
LAND ROVER,TATA,2008-06,,Venda da Jaguar Land Rover a' Tata Motors em 02/06/2008,
JAGUAR,FORD,2003-01,2008-05,propriedade estavel no periodo coberto; sem evento datado a registrar,
JAGUAR,TATA,2008-06,,propriedade estavel no periodo coberto; sem evento datado a registrar,
VOLVO,FORD,2003-01,2010-07,Volvo Cars sob a Ford (PAG),Automoveis; nao confundir com AB Volvo (caminhoes)
VOLVO,GEELY,2010-08,,Aquisicao da Volvo Cars pela Geely em 02/08/2010,
ASTON MARTIN,FORD,2003-01,2007-03,propriedade estavel no periodo coberto; sem evento datado a registrar,
ASTON MARTIN,ASTON MARTIN,2007-04,,marca independente; sem evento societario no periodo coberto,
TOYOTA,TOYOTA,2003-01,,marca independente; sem evento societario no periodo coberto,
LEXUS,TOYOTA,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
DAIHATSU,TOYOTA,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
HINO,TOYOTA,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
HYUNDAI,HYUNDAI,2003-01,,marca independente; sem evento societario no periodo coberto,Hyundai Motor Group
KIA,HYUNDAI,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,Participacao cruzada Hyundai/Kia desde 1998
GENESIS,HYUNDAI,2015-11,,propriedade estavel no periodo coberto; sem evento datado a registrar,
HONDA,HONDA,2003-01,,marca independente; sem evento societario no periodo coberto,
ACURA,HONDA,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
NISSAN,NISSAN,2003-01,,marca independente; sem evento societario no periodo coberto,Alianca Renault-Nissan-Mitsubishi nao e' tratada como grupo unico; ver QUESTOES_ABERTAS.md Q3
INFINITI,NISSAN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
DATSUN,NISSAN,2013-07,,propriedade estavel no periodo coberto; sem evento datado a registrar,
RENAULT,RENAULT,2003-01,,marca independente; sem evento societario no periodo coberto,
DACIA,RENAULT,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
ALPINE,RENAULT,2017-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
MITSUBISHI,MITSUBISHI,2003-01,,marca independente; sem evento societario no periodo coberto,MMC; Nissan detem 34% desde 10/2016 -- ver QUESTOES_ABERTAS.md Q3
SUZUKI,SUZUKI,2003-01,,marca independente; sem evento societario no periodo coberto,
SUBARU,SUBARU,2003-01,,marca independente; sem evento societario no periodo coberto,
BMW,BMW,2003-01,,marca independente; sem evento societario no periodo coberto,
MINI,BMW,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
ROLLS-ROYCE,BMW,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
M.BENZ,MERCEDES-BENZ,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,Daimler ate 01/02/2022; Mercedes-Benz Group AG a partir dai
MERCEDES-BENZ,MERCEDES-BENZ,2003-01,,marca independente; sem evento societario no periodo coberto,
SMART,MERCEDES-BENZ,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
MAYBACH,MERCEDES-BENZ,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
IVECO,IVECO,2003-01,,marca independente; sem evento societario no periodo coberto,CNH Industrial ate 2021; Iveco Group N.V. a partir de 01/01/2022
CNH,CNH,2003-01,,marca independente; sem evento societario no periodo coberto,
AGRALE,AGRALE,2003-01,,marca independente; sem evento societario no periodo coberto,
MARCOPOLO,MARCOPOLO,2003-01,,marca independente; sem evento societario no periodo coberto,
BYD,BYD,2003-01,,marca independente; sem evento societario no periodo coberto,
GWM,GWM,2003-01,,marca independente; sem evento societario no periodo coberto,Great Wall Motors
GREAT WALL,GWM,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
HAVAL,GWM,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
ORA,GWM,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
CHERY,CHERY,2003-01,,marca independente; sem evento societario no periodo coberto,
CAOA CHERY,CAOA CHERY,2017-11,,Joint venture CAOA + Chery anunciada em 11/2017,Controle compartilhado; ver QUESTOES_ABERTAS.md Q3
CAOA,CAOA,2003-01,,marca independente; sem evento societario no periodo coberto,
OMODA JAECOO,CHERY,2024-01,,"Marcas Omoda e Jaecoo, do grupo Chery",
JETOUR,CHERY,2024-01,,"Marca Jetour, do grupo Chery",
EXEED,CHERY,2019-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
GEELY,GEELY,2003-01,,marca independente; sem evento societario no periodo coberto,
LYNK&CO,GEELY,2016-10,,propriedade estavel no periodo coberto; sem evento datado a registrar,
POLESTAR,GEELY,2017-10,,propriedade estavel no periodo coberto; sem evento datado a registrar,
LOTUS,GEELY,2017-05,,propriedade estavel no periodo coberto; sem evento datado a registrar,
ZEEKR,GEELY,2021-04,,propriedade estavel no periodo coberto; sem evento datado a registrar,
GAC,GAC,2003-01,,marca independente; sem evento societario no periodo coberto,
JAC,JAC,2003-01,,marca independente; sem evento societario no periodo coberto,
LIFAN,LIFAN,2003-01,,marca independente; sem evento societario no periodo coberto,
FOTON,FOTON,2003-01,,marca independente; sem evento societario no periodo coberto,
SHINERAY,SHINERAY,2003-01,,marca independente; sem evento societario no periodo coberto,
EFFA,EFFA,2003-01,,marca independente; sem evento societario no periodo coberto,
HAFEI,HAFEI,2003-01,,marca independente; sem evento societario no periodo coberto,
CHANA,CHANGAN,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
CHANGAN,CHANGAN,2003-01,,marca independente; sem evento societario no periodo coberto,
JINBEI,BRILLIANCE,2003-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
BRILLIANCE,BRILLIANCE,2003-01,,marca independente; sem evento societario no periodo coberto,
MAHINDRA,MAHINDRA,2003-01,,marca independente; sem evento societario no periodo coberto,
SSANGYONG,SSANGYONG,2003-01,,marca independente; sem evento societario no periodo coberto,
TATA,TATA,2003-01,,marca independente; sem evento societario no periodo coberto,
FIAT PROFESSIONAL,FCA,2014-10,2020-12,propriedade estavel no periodo coberto; sem evento datado a registrar,
FIAT PROFESSIONAL,STELLANTIS,2021-01,,propriedade estavel no periodo coberto; sem evento datado a registrar,
MG,SAIC,2007-01,,Marca MG sob a SAIC Motor desde 2007,
SAIC,SAIC,2003-01,,marca independente; sem evento societario no periodo coberto,
