marca_fonte,observacao
AGRALE,observada na fonte em 2014-01..2023-03; 104 unidades
ALFA ROMEO,observada na fonte em 2026-07..2026-08; 1 unidades
ARROW,observada na fonte em 2023-12..2025-07; 52 unidades
ASA,observada na fonte em 2017-03..2018-12; 292 unidades
ASIA,observada na fonte em 2015-08..2015-08; 1 unidades
ASTON MARTIN,citada na ESPEC sec.4; nao observada em 2014-01..2026-08
AUDI,observada na fonte em 2014-01..2026-08; 86.173 unidades
BAIC,observada na fonte em 2025-05..2025-05; 1 unidades
BMW,observada na fonte em 2014-01..2026-08; 128.856 unidades
BYD,observada na fonte em 2016-06..2026-08; 342.716 unidades
CADILLAC,observada na fonte em 2021-06..2021-06; 1 unidades
CAOA CHANGAN,observada na fonte em 2026-06..2026-08; 2.712 unidades
CAOA CHERY,observada na fonte em 2020-03..2026-08; 295.727 unidades
CHANA,observada na fonte em 2014-01..2020-09; 323 unidades
CHERY,observada na fonte em 2014-01..2020-02; 43.039 unidades
CHEVROLET,observada na fonte em 2014-12..2024-12; 54 unidades
CHRYSLER,observada na fonte em 2014-01..2026-03; 303 unidades
CITROEN,observada na fonte em 2014-01..2026-08; 365.067 unidades
DATSUM,observada na fonte em 2016-11..2016-11; 1 unidades
DENZA,observada na fonte em 2025-01..2025-01; 3 unidades
DFM,observada na fonte em 2014-05..2016-03; 39 unidades
DKW,observada na fonte em 2018-10..2019-12; 2 unidades
DODGE,observada na fonte em 2014-01..2026-08; 6.401 unidades
EFFA,observada na fonte em 2014-01..2026-08; 11.232 unidades
ENGESA,observada na fonte em 2015-07..2022-09; 13 unidades
FARGO,observada na fonte em 2018-05..2018-12; 3 unidades
FARIZON,observada na fonte em 2026-03..2026-06; 75 unidades
FERRARI,observada na fonte em 2020-06..2024-01; 12 unidades
FEVER,observada na fonte em 2024-12..2026-08; 125 unidades
FIAT,observada na fonte em 2014-01..2026-08; 5.431.567 unidades
FORD,observada na fonte em 2014-01..2026-08; 1.759.206 unidades
FOTON,observada na fonte em 2014-01..2026-08; 3.639 unidades
FREIGHTLINER,observada na fonte em 2016-07..2016-07; 1 unidades
GAC,observada na fonte em 2025-06..2026-08; 4.335 unidades
GEELY,observada na fonte em 2014-01..2026-08; 34.351 unidades
GM,observada na fonte em 2014-01..2026-08; 4.569.917 unidades
GMC,observada na fonte em 2020-02..2024-06; 32 unidades
GREAT WALL,citada na ESPEC sec.4; nao observada em 2014-01..2026-08
GWM,observada na fonte em 2023-05..2026-08; 128.395 unidades
HAFEI,observada na fonte em 2014-01..2022-02; 1.288 unidades
HITECH,observada na fonte em 2023-05..2024-09; 21 unidades
