marca,modelo,motivo
,RIBEIRAUTO,"Ribeirauto e' encarrocador/transformador, nao modelo. Aparece sob TOYOTA (67 unidades em 25 meses) e M.BENZ (40 em 17)."
,ENGERAUTO SPARTAKUS,"Engerauto e' encarrocador; 'Spartakus' e' a linha de transformacao, nao um modelo de fabrica."
,ZILK,"Zilk e' transformadora de veiculos; nao e' modelo de fabrica."
FIAT,FIAT,"Nome do modelo repete o da marca: registro sem modelo identificado na fonte."
FIAT,FAG,"FAG nao corresponde a nenhum modelo Fiat; registro avulso de uma unidade."
FIAT,PICK UP,"Descricao generica de carroceria, nao nome de modelo."
HAFEI,PICK UP,"Descricao generica de carroceria, nao nome de modelo."
CADILLAC,CADILLAC,"Nome do modelo repete o da marca."
DATSUM,DATSUM,"Nome do modelo repete o da marca, e a propria marca e' erro de grafia de DATSUN."
ROLLS ROYCE,ROLLS ROYCE,"Nome do modelo repete o da marca."
INTERNATIONAL,INTERNATIONAL,"Nome do modelo repete o da marca."
GMC,GMC,"Nome do modelo repete o da marca."
NÃO IDENTIFICADO,,"Marcador da propria fonte para registro sem marca identificada; vale para qualquer modelo publicado sob ele."
