mes,arquivo_local,arquivo_fonte,url,sha256,bytes,data_download
2014-01,dados/bruto/pdf/2014-01.pdf,3_2014_01_2.pdf,https://www.fenabrave.org.br/portal/files/3_2014_01_2.pdf,ada9838660cd950229054f725b247d1ad65cbcc03fc6f396f4070a78bf770a39,4642954,2026-09-12T00:50:42+00:00
2014-02,dados/bruto/pdf/2014-02.pdf,5_2014_02_2.pdf,https://www.fenabrave.org.br/portal/files/5_2014_02_2.pdf,73676460f561df50e8e6081556787b108894da248ed19e3d7fdd4ccd440043fc,4649010,2026-09-12T00:50:51+00:00
2014-03,dados/bruto/pdf/2014-03.pdf,4_2014_03_2.pdf,https://www.fenabrave.org.br/portal/files/4_2014_03_2.pdf,5f0b57a2d37da7e3800aa36edd846c7923db5580416410b8163ffdbaadc22862,4619629,2026-09-12T00:51:01+00:00
2014-04,dados/bruto/pdf/2014-04.pdf,3_2014_04_2.pdf,https://www.fenabrave.org.br/portal/files/3_2014_04_2.pdf,b5b381737c96bba2a122b44d01c9d9a4e53a58719ff9ff15515b2619995cbe07,4641263,2026-09-12T00:51:09+00:00
2014-05,dados/bruto/pdf/2014-05.pdf,3_2014_05_2.pdf,https://www.fenabrave.org.br/portal/files/3_2014_05_2.pdf,2dadc3493e90514bff50f8d616f3c722765c0a1c9d4aae1720eef77b6cc4e20d,4652680,2026-09-12T00:51:17+00:00
2014-06,dados/bruto/pdf/2014-06.pdf,4_2014_06_2.pdf,https://www.fenabrave.org.br/portal/files/4_2014_06_2.pdf,da90226b17f8347a0c81cc64fdef17fb2b849c852b2acd6dd970475f96c80e27,4664757,2026-09-12T00:51:24+00:00
2014-07,dados/bruto/pdf/2014-07.pdf,4_2014_07_2.pdf,https://www.fenabrave.org.br/portal/files/4_2014_07_2.pdf,a7e733f45d9477cdc55f033bdba9b149172ccf6cbea277c5348fee8abdaea08a,4669872,2026-09-12T00:51:31+00:00
2014-08,dados/bruto/pdf/2014-08.pdf,3_2014_08_2.pdf,https://www.fenabrave.org.br/portal/files/3_2014_08_2.pdf,6d7a0cf6207050aadd773ba09e46c8ae856b09faa0e199c32d602a7c3fc8e947,4676459,2026-09-12T00:51:38+00:00
2014-09,dados/bruto/pdf/2014-09.pdf,3_2014_09_2.pdf,https://www.fenabrave.org.br/portal/files/3_2014_09_2.pdf,67ba0b2db75be4aac2ab36b89455f530dd817a5ee5b6deb93ddc920d7949c3eb,4681543,2026-09-12T00:51:45+00:00
2014-10,dados/bruto/pdf/2014-10.pdf,5_2014_10_2.pdf,https://www.fenabrave.org.br/portal/files/5_2014_10_2.pdf,8426e4918f75574cd2cf5db51a023f80c84ebee7f469fd3eb350547e986de39b,4673033,2026-09-12T00:51:52+00:00
