mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2003-08,automoveis,sub_segmento,Veículos de Entrada,1,VW/GOL,14590,15753,109043,30.70,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Veículos de Entrada,2,FIAT/PALIO,7836,7577,69246,19.50,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Veículos de Entrada,3,GM/CELTA,7845,8351,68630,19.33,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Veículos de Entrada,4,FIAT/UNO,5688,8277,52770,14.86,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Veículos de Entrada,5,PEUGEOT/206,2398,2435,20958,5.90,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Veículos de Entrada,6,RENAULT/CLIO,1747,2728,18979,5.34,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Veículos de Entrada,7,FORD/KA,1994,2266,15503,4.37,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Veículos de Entrada,8,PEUGEOT/106,0,0,3,0.00,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Veículos de Entrada,9,VW/FUSCA,0,0,3,0.00,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,1,FORD/FIESTA,4718,5152,42292,53.26,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,2,GM/CORSA,2050,3034,20613,25.96,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,3,VW/POLO,908,1213,14580,18.36,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,4,CITROEN/C3,573,468,1578,1.99,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,5,RENAULT/TWINGO,1,1,328,0.41,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,6,MINI/COOPER,4,0,9,0.01,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,7,GM/KADETT,0,2,6,0.01,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,8,MCC/SMART,0,0,1,0.00,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Pequenos,9,PEUGEOT/205,0,0,1,0.00,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Médios,1,GM/ASTRA,1274,1266,11928,26.01,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Médios,2,VW/GOLF,667,997,10930,23.84,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Médios,3,FIAT/STILO,1072,1195,10290,22.44,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Médios,4,FORD/FOCUS,850,515,5725,12.49,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Médios,5,AUDI/A3,487,507,5378,11.73,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Hatch Médios,6,PEUGEOT/307,209,217,1604,3.50,10,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Sedans Pequenos,1,GM/CLASSIC,3456,5167,36201,44.60,11,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Sedans Pequenos,2,FIAT/SIENA,2409,2941,21221,26.14,11,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Sedans Pequenos,3,GM/CORSA SEDAN,1870,2010,17454,21.50,11,texto,2003-08.pdf
2003-08,automoveis,sub_segmento,Sedans Pequenos,4,RENAULT/CLIO SEDAN,1093,1275,6278,7.73,11,texto,2003-08.pdf
