mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2003-01,automoveis,Grandcab,2502,2502,4,0,2003-01.pdf
2003-01,automoveis,Hatch Médios,6955,6955,6,0,2003-01.pdf
2003-01,automoveis,Hatch Pequenos,11516,11516,7,0,2003-01.pdf
2003-01,automoveis,Monocab,3038,3038,7,0,2003-01.pdf
2003-01,automoveis,Sedans Compactos,2013,2013,5,0,2003-01.pdf
2003-01,automoveis,Sedans Grandes,304,304,12,0,2003-01.pdf
2003-01,automoveis,Sedans Pequenos,11298,11298,7,0,2003-01.pdf
2003-01,automoveis,Sedans médios,5590,5590,12,0,2003-01.pdf
2003-01,automoveis,Sports,34,34,9,0,2003-01.pdf
2003-01,automoveis,Suv's,1074,1074,36,0,2003-01.pdf
2003-01,automoveis,Sw Grandes,109,109,5,0,2003-01.pdf
2003-01,automoveis,Sw Médios,3921,3921,4,0,2003-01.pdf
2003-01,automoveis,Veículos de Entrada,47250,47250,8,0,2003-01.pdf
2003-01,comerciais_leves,Furgões,1939,1939,7,0,2003-01.pdf
2003-01,comerciais_leves,Furgões Pequenos,854,854,4,0,2003-01.pdf
2003-01,comerciais_leves,Pick-up's Grandes,3066,3066,10,0,2003-01.pdf
2003-01,comerciais_leves,Pick-up's Pequenas,4226,4226,6,0,2003-01.pdf
2003-02,automoveis,Grandcab,2917,2917,4,0,2003-02.pdf
2003-02,automoveis,Hatch Médios,6974,6974,6,0,2003-02.pdf
2003-02,automoveis,Hatch Pequenos,12073,12073,7,0,2003-02.pdf
2003-02,automoveis,Monocab,3299,3299,8,0,2003-02.pdf
2003-02,automoveis,Sedans Compactos,2890,2890,4,0,2003-02.pdf
2003-02,automoveis,Sedans Grandes,348,348,12,0,2003-02.pdf
2003-02,automoveis,Sedans Pequenos,10316,10316,6,0,2003-02.pdf
2003-02,automoveis,Sedans médios,6860,6860,12,0,2003-02.pdf
2003-02,automoveis,Sports,27,27,9,0,2003-02.pdf
2003-02,automoveis,Suv's,1110,1110,35,0,2003-02.pdf
2003-02,automoveis,Sw Grandes,121,121,5,0,2003-02.pdf
2003-02,automoveis,Sw Médios,3536,3536,4,0,2003-02.pdf
2003-02,automoveis,Veículos de Entrada,49105,49105,8,0,2003-02.pdf
2003-02,comerciais_leves,Furgões,2001,2001,7,0,2003-02.pdf
2003-02,comerciais_leves,Furgões Pequenos,1048,1048,4,0,2003-02.pdf
2003-02,comerciais_leves,Pick-up's Grandes,3437,3437,10,0,2003-02.pdf
2003-02,comerciais_leves,Pick-up's Pequenas,4802,4802,5,0,2003-02.pdf
2003-03,automoveis,Grandcab,2321,2321,4,0,2003-03.pdf
2003-03,automoveis,Hatch Médios,5793,5793,6,0,2003-03.pdf
