mes,segmento,total_publicado,total_publicado_mes_anterior,origem,arquivo_origem,edicao
2003-01,automoveis,96383,109638,resumo_mensal,2003-01.pdf,1
2003-01,comerciais_leves,10224,11659,resumo_mensal,2003-01.pdf,1
2003-02,automoveis,100258,96383,resumo_mensal,2003-02.pdf,2
2003-02,comerciais_leves,11447,10224,resumo_mensal,2003-02.pdf,2
2003-03,automoveis,86451,100258,resumo_mensal,2003-03.pdf,3
2003-03,comerciais_leves,9533,11447,resumo_mensal,2003-03.pdf,3
2003-04,automoveis,92118,86451,resumo_mensal,2003-04.pdf,4
2003-04,comerciais_leves,9751,9533,resumo_mensal,2003-04.pdf,4
2003-05,automoveis,89352,92118,resumo_mensal,2003-05.pdf,5
2003-05,comerciais_leves,10236,9751,resumo_mensal,2003-05.pdf,5
2003-06,automoveis,84524,89352,resumo_mensal,2003-06.pdf,6
2003-06,comerciais_leves,8878,10236,resumo_mensal,2003-06.pdf,6
2003-07,automoveis,95924,84524,resumo_mensal,2003-07.pdf,7
2003-07,comerciais_leves,10032,8878,resumo_mensal,2003-07.pdf,7
2003-08,automoveis,85079,95924,resumo_mensal,2003-08.pdf,8
2003-08,comerciais_leves,8899,10032,resumo_mensal,2003-08.pdf,8
2003-09,automoveis,107067,85079,resumo_mensal,2003-09.pdf,9
2003-09,comerciais_leves,10954,8899,resumo_mensal,2003-09.pdf,9
2003-10,automoveis,120938,107067,resumo_mensal,2003-10.pdf,10
2003-10,comerciais_leves,11972,10954,resumo_mensal,2003-10.pdf,10
2003-11,automoveis,111051,120938,resumo_mensal,2003-11.pdf,11
2003-11,comerciais_leves,12246,11972,resumo_mensal,2003-11.pdf,11
2003-12,automoveis,145248,111051,resumo_mensal,2003-12.pdf,12
2003-12,comerciais_leves,16157,12246,resumo_mensal,2003-12.pdf,12
2004-01,automoveis,90561,145248,resumo_mensal,2004-01.pdf,13
2004-01,comerciais_leves,10439,16157,resumo_mensal,2004-01.pdf,13
2004-02,automoveis,87706,90561,resumo_mensal,2004-02.pdf,14
2004-02,comerciais_leves,10528,10439,resumo_mensal,2004-02.pdf,14
2004-03,automoveis,117360,87706,resumo_mensal,2004-03.pdf,15
2004-03,comerciais_leves,15163,10528,resumo_mensal,2004-03.pdf,15
2004-04,automoveis,93760,117360,resumo_mensal,2004-04.pdf,16
2004-04,comerciais_leves,13049,15163,resumo_mensal,2004-04.pdf,16
2004-05,automoveis,101331,93760,resumo_mensal,2004-05.pdf,17
2004-05,comerciais_leves,13273,13049,resumo_mensal,2004-05.pdf,17
2004-06,automoveis,109129,101331,resumo_mensal,2004-06.pdf,18
2004-06,comerciais_leves,13216,13273,resumo_mensal,2004-06.pdf,18
2004-07,automoveis,112463,109129,resumo_mensal,2004-07.pdf,19
2004-07,comerciais_leves,12977,13216,resumo_mensal,2004-07.pdf,19
2004-08,automoveis,108307,112463,resumo_mensal,2004-08.pdf,20
2004-08,comerciais_leves,13619,12977,resumo_mensal,2004-08.pdf,20
2004-09,automoveis,114479,108307,resumo_mensal,2004-09.pdf,21
2004-09,comerciais_leves,14763,13619,resumo_mensal,2004-09.pdf,21
2004-10,automoveis,113546,114479,resumo_mensal,2004-10.pdf,22
2004-10,comerciais_leves,14788,14763,resumo_mensal,2004-10.pdf,22
2004-11,automoveis,116164,113546,resumo_mensal,2004-11.pdf,23
2004-11,comerciais_leves,14184,14788,resumo_mensal,2004-11.pdf,23
2004-12,automoveis,150188,116164,resumo_mensal,2004-12.pdf,24
2004-12,comerciais_leves,17927,14184,resumo_mensal,2004-12.pdf,24
2005-01,automoveis,88575,150188,resumo_mensal,2005-01.pdf,25
2005-01,comerciais_leves,11080,17927,resumo_mensal,2005-01.pdf,25
2005-02,automoveis,95681,88575,resumo_mensal,2005-02.pdf,26
2005-02,comerciais_leves,12213,11080,resumo_mensal,2005-02.pdf,26
2005-03,automoveis,124402,95681,resumo_mensal,2005-03.pdf,27
2005-03,comerciais_leves,16216,12213,resumo_mensal,2005-03.pdf,27
2005-04,automoveis,114246,124402,resumo_mensal,2005-04.pdf,28
2005-04,comerciais_leves,14907,16216,resumo_mensal,2005-04.pdf,28
2005-05,automoveis,119220,114246,resumo_mensal,2005-05.pdf,29
2005-05,comerciais_leves,15846,14907,resumo_mensal,2005-05.pdf,29
2005-06,automoveis,123133,119220,resumo_mensal,2005-06.pdf,30
2005-06,comerciais_leves,16642,15846,resumo_mensal,2005-06.pdf,30
2005-07,automoveis,115200,123133,resumo_mensal,2005-07.pdf,31
2005-07,comerciais_leves,15341,16642,resumo_mensal,2005-07.pdf,31
2005-08,automoveis,126906,115200,resumo_mensal,2005-08.pdf,32
2005-08,comerciais_leves,16469,15341,resumo_mensal,2005-08.pdf,32
2005-09,automoveis,120942,126906,resumo_mensal,2005-09.pdf,33
2005-09,comerciais_leves,15883,16469,resumo_mensal,2005-09.pdf,33
2005-10,automoveis,116676,120942,resumo_mensal,2005-10.pdf,34
2005-10,comerciais_leves,13973,15883,resumo_mensal,2005-10.pdf,34
2005-11,automoveis,136244,116676,resumo_mensal,2005-11.pdf,35
2005-11,comerciais_leves,14538,13973,resumo_mensal,2005-11.pdf,35
2005-12,automoveis,157913,136244,resumo_mensal,2005-12.pdf,36
2005-12,comerciais_leves,17572,14538,resumo_mensal,2005-12.pdf,36
2006-01,automoveis,112655,157913,resumo_mensal,2006-01.pdf,37
2006-01,comerciais_leves,13190,17572,resumo_mensal,2006-01.pdf,37
2006-02,automoveis,108513,112655,resumo_mensal,2006-02.pdf,38
2006-02,comerciais_leves,13018,13190,resumo_mensal,2006-02.pdf,38
2006-03,automoveis,130994,108513,resumo_mensal,2006-03.pdf,39
2006-03,comerciais_leves,17240,13018,resumo_mensal,2006-03.pdf,39
2006-04,automoveis,109706,130994,resumo_mensal,2006-04.pdf,40
2006-04,comerciais_leves,14755,17240,resumo_mensal,2006-04.pdf,40
2006-05,automoveis,137986,109706,resumo_mensal,2006-05.pdf,41
2006-05,comerciais_leves,17534,14755,resumo_mensal,2006-05.pdf,41
2006-06,automoveis,124384,137986,resumo_mensal,2006-06.pdf,42
2006-06,comerciais_leves,16480,17534,resumo_mensal,2006-06.pdf,42
2006-07,automoveis,141159,124384,resumo_mensal,2006-07.pdf,43
2006-07,comerciais_leves,16894,16480,resumo_mensal,2006-07.pdf,43
2006-08,automoveis,150756,141159,resumo_mensal,2006-08.pdf,44
2006-08,comerciais_leves,19233,16894,resumo_mensal,2006-08.pdf,44
2006-09,automoveis,134612,150756,resumo_mensal,2006-09.pdf,45
