mes_ref,painel_bruto,painel,diferenca
2003-01,106186,106186,0
2003-02,111312,111312,0
2003-03,95688,95688,0
2003-04,101498,101498,0
2003-05,99334,99334,0
2003-06,93103,93103,0
2003-07,105613,105613,0
2003-08,93743,93743,0
2003-09,117664,117664,0
2003-10,131746,131746,0
2003-11,123001,123001,0
2003-12,161126,161126,0
2004-01,100839,100839,0
2004-02,98076,98076,0
2004-03,132336,132336,0
2004-04,106648,106648,0
2004-05,114440,114440,0
2004-06,122169,122169,0
2004-07,125225,125225,0
2004-08,121776,121776,0
2004-09,129076,129076,0
2004-10,128139,128139,0
2004-11,130130,130130,0
2004-12,167850,167850,0
2005-01,99506,99506,0
2005-02,107742,107742,0
2005-03,139416,139416,0
2005-04,128900,128900,0
2005-05,134795,134795,0
2005-06,139469,139469,0
2005-07,130270,130270,0
2005-08,143087,143087,0
2005-09,136543,136543,0
2005-10,130406,130406,0
2005-11,150497,150497,0
2005-12,175063,175063,0
2006-01,125488,125488,0
2006-02,121193,121193,0
2006-03,147909,147909,0
2006-04,124191,124191,0
2006-05,155151,155151,0
2006-06,140560,140560,0
2006-07,157631,157631,0
2006-08,169463,169463,0
2006-09,150586,150586,0
2006-10,166224,166224,0
2006-11,173268,173268,0
2006-12,195314,195314,0
2007-01,144811,144811,0
2007-02,139243,139243,0
2007-03,183096,183096,0
2007-04,169321,169321,0
2007-05,199240,199240,0
2007-06,187825,187825,0
2007-07,205649,205649,0
2007-08,222877,222877,0
2007-09,192920,192920,0
2007-10,231194,231194,0
2007-11,224448,224448,0
2007-12,229977,229977,0
2008-01,203880,203880,0
2008-02,189959,189959,0
2008-03,219889,219889,0
2008-04,246295,246295,0
2008-05,228312,228312,0
2008-06,241121,241121,0
2008-07,271116,271116,0
2008-08,229471,229471,0
2008-09,252147,252147,0
2008-10,222755,222755,0
2008-11,165171,165171,0
2008-12,181782,181782,0
2009-01,187957,187957,0
2009-02,189278,189278,0
2009-03,258732,258732,0
2009-04,223160,223160,0
2009-05,236268,236268,0
2009-06,287805,287805,0
2009-07,271603,271603,0
2009-08,246325,246325,0
2009-09,295000,295000,0
2009-10,279514,279514,0
2009-11,237147,237147,0
2009-12,275885,275885,0
2010-01,198950,198950,0
2010-02,209684,209684,0
2010-03,334792,334792,0
2010-04,259766,259766,0
2010-05,234347,234347,0
2010-06,244965,244965,0
2010-07,282498,282498,0
2010-08,292727,292727,0
2010-09,287898,287898,0
2010-10,284157,284157,0
2010-11,307733,307733,0
2010-12,355787,355787,0
2011-01,226502,226502,0
2011-02,254315,254315,0
2011-03,284388,284388,0
2011-04,268463,268463,0
2011-05,295640,295640,0
2011-06,281316,281316,0
2011-07,283327,283327,0
2011-08,302676,302676,0
2011-09,287369,287369,0
2011-10,258981,258981,0
2011-11,299813,299813,0
2011-12,321114,321114,0
2012-01,247893,247893,0
2012-02,231659,231659,0
2012-03,279261,279261,0
2012-04,240249,240249,0
2012-05,269997,269997,0
2012-06,336495,336495,0
2012-07,347111,347111,0
2012-08,399530,399530,0
2012-09,273456,273456,0
2012-10,323136,323136,0
2012-11,292427,292427,0
2012-12,336726,336726,0
2013-01,292099,292099,0
2013-02,218339,218339,0
2013-03,264581,264581,0
2013-04,311241,311241,0
2013-05,295826,295826,0
