mes,linhas,situacao,metodo_predominante,arquivo_origem
2003-01,162,ok,texto,dados/bruto/pdf/2003-01.pdf
2003-02,160,ok,texto,dados/bruto/pdf/2003-02.pdf
2003-03,171,ok,texto,dados/bruto/pdf/2003-03.pdf
2003-04,175,ok,texto,dados/bruto/pdf/2003-04.pdf
2003-05,174,ok,texto,dados/bruto/pdf/2003-05.pdf
2003-06,177,ok,texto,dados/bruto/pdf/2003-06.pdf
2003-07,176,ok,texto,dados/bruto/pdf/2003-07.pdf
2003-08,181,ok,texto,dados/bruto/pdf/2003-08.pdf
2003-09,180,ok,texto,dados/bruto/pdf/2003-09.pdf
2003-10,89,ok,texto,dados/bruto/pdf/2003-10.pdf
2003-11,183,ok,texto,dados/bruto/pdf/2003-11.pdf
2003-12,181,ok,texto,dados/bruto/pdf/2003-12.pdf
2004-01,167,ok,texto,dados/bruto/pdf/2004-01.pdf
2004-02,163,ok,texto,dados/bruto/pdf/2004-02.pdf
2004-03,170,ok,texto,dados/bruto/pdf/2004-03.pdf
2004-04,169,ok,texto,dados/bruto/pdf/2004-04.pdf
2004-05,174,ok,texto,dados/bruto/pdf/2004-05.pdf
2004-06,172,ok,texto,dados/bruto/pdf/2004-06.pdf
2004-07,179,ok,texto,dados/bruto/pdf/2004-07.pdf
2004-08,179,ok,texto,dados/bruto/pdf/2004-08.pdf
2004-09,181,ok,texto,dados/bruto/pdf/2004-09.pdf
2004-10,182,ok,texto,dados/bruto/pdf/2004-10.pdf
2004-11,178,ok,texto,dados/bruto/pdf/2004-11.pdf
2004-12,180,ok,texto,dados/bruto/pdf/2004-12.pdf
2005-01,166,ok,texto,dados/bruto/pdf/2005-01.pdf
2005-02,160,ok,texto,dados/bruto/pdf/2005-02.pdf
2005-03,87,ok,texto,dados/bruto/pdf/2005-03.pdf
2005-04,171,ok,texto,dados/bruto/pdf/2005-04.pdf
2005-05,169,ok,texto,dados/bruto/pdf/2005-05.pdf
2005-06,181,ok,texto,dados/bruto/pdf/2005-06.pdf
2005-07,179,ok,texto,dados/bruto/pdf/2005-07.pdf
2005-08,183,ok,texto,dados/bruto/pdf/2005-08.pdf
2005-09,183,ok,texto,dados/bruto/pdf/2005-09.pdf
2005-10,182,ok,texto,dados/bruto/pdf/2005-10.pdf
2005-11,182,ok,texto,dados/bruto/pdf/2005-11.pdf
2005-12,183,ok,texto,dados/bruto/pdf/2005-12.pdf
2006-01,164,ok,texto,dados/bruto/pdf/2006-01.pdf
2006-02,165,ok,texto,dados/bruto/pdf/2006-02.pdf
2006-03,173,ok,texto,dados/bruto/pdf/2006-03.pdf
2006-04,178,ok,texto,dados/bruto/pdf/2006-04.pdf
2006-05,178,ok,texto,dados/bruto/pdf/2006-05.pdf
2006-06,177,ok,texto,dados/bruto/pdf/2006-06.pdf
2006-07,181,ok,texto,dados/bruto/pdf/2006-07.pdf
2006-08,182,ok,texto,dados/bruto/pdf/2006-08.pdf
2006-09,187,ok,texto,dados/bruto/pdf/2006-09.pdf
2006-10,190,ok,texto,dados/bruto/pdf/2006-10.pdf
2006-11,189,ok,texto,dados/bruto/pdf/2006-11.pdf
2006-12,189,ok,texto,dados/bruto/pdf/2006-12.pdf
2007-01,177,ok,texto,dados/bruto/pdf/2007-01.pdf
2007-02,175,ok,texto,dados/bruto/pdf/2007-02.pdf
2007-03,176,ok,texto,dados/bruto/pdf/2007-03.pdf
2007-04,181,ok,texto,dados/bruto/pdf/2007-04.pdf
2007-05,185,ok,texto,dados/bruto/pdf/2007-05.pdf
2007-06,184,ok,texto,dados/bruto/pdf/2007-06.pdf
2007-07,188,ok,texto,dados/bruto/pdf/2007-07.pdf
2007-08,188,ok,texto,dados/bruto/pdf/2007-08.pdf
2007-09,188,ok,texto,dados/bruto/pdf/2007-09.pdf
2007-10,192,ok,texto,dados/bruto/pdf/2007-10.pdf
2007-11,191,ok,texto,dados/bruto/pdf/2007-11.pdf
2007-12,193,ok,texto,dados/bruto/pdf/2007-12.pdf
2008-01,183,ok,texto,dados/bruto/pdf/2008-01.pdf
2008-02,180,ok,texto,dados/bruto/pdf/2008-02.pdf
2008-03,190,ok,texto,dados/bruto/pdf/2008-03.pdf
2008-04,189,ok,texto,dados/bruto/pdf/2008-04.pdf
2008-05,194,ok,texto,dados/bruto/pdf/2008-05.pdf
2008-06,195,ok,texto,dados/bruto/pdf/2008-06.pdf
2008-07,198,ok,texto,dados/bruto/pdf/2008-07.pdf
2008-08,195,ok,texto,dados/bruto/pdf/2008-08.pdf
2008-09,202,ok,texto,dados/bruto/pdf/2008-09.pdf
2008-10,204,ok,texto,dados/bruto/pdf/2008-10.pdf
2008-11,200,ok,texto,dados/bruto/pdf/2008-11.pdf
2008-12,201,ok,texto,dados/bruto/pdf/2008-12.pdf
2009-01,188,ok,texto,dados/bruto/pdf/2009-01.pdf
2009-02,186,ok,texto,dados/bruto/pdf/2009-02.pdf
2009-03,201,ok,texto,dados/bruto/pdf/2009-03.pdf
2009-04,205,ok,texto,dados/bruto/pdf/2009-04.pdf
2009-05,204,ok,texto,dados/bruto/pdf/2009-05.pdf
2009-06,203,ok,texto,dados/bruto/pdf/2009-06.pdf
2009-07,203,ok,texto,dados/bruto/pdf/2009-07.pdf
2009-08,208,ok,texto,dados/bruto/pdf/2009-08.pdf
