mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2022-07,automoveis,Grandcab,1292,1292,4,0,2022-07.pdf
2022-07,automoveis,Hatch Médios,191,184,6,7,2022-07.pdf
2022-07,automoveis,Hatch Pequenos,30994,30937,12,57,2022-07.pdf
2022-07,automoveis,Monocab,1,1,4,0,2022-07.pdf
2022-07,automoveis,Sedans Compactos,12550,12548,6,2,2022-07.pdf
2022-07,automoveis,Sedans Grandes,522,503,12,19,2022-07.pdf
2022-07,automoveis,Sedans Pequenos,10957,10957,10,0,2022-07.pdf
2022-07,automoveis,Sedans médios,5399,5398,21,1,2022-07.pdf
2022-07,automoveis,Sports,184,158,9,26,2022-07.pdf
2022-07,automoveis,Suv's,53438,51866,40,1572,2022-07.pdf
2022-07,automoveis,Sw Grandes,3,3,3,0,2022-07.pdf
2022-07,automoveis,Sw Médios,1,1,3,0,2022-07.pdf
2022-07,automoveis,Veículos de Entrada,19921,19921,9,0,2022-07.pdf
2022-07,comerciais_leves,Furgões,2599,1936,7,663,2022-07.pdf
2022-07,comerciais_leves,Furgões Pequenos,1674,1673,4,1,2022-07.pdf
2022-07,comerciais_leves,Pick-up's Grandes,16643,16396,11,247,2022-07.pdf
2022-07,comerciais_leves,Pick-up's Pequenas,12651,12651,6,0,2022-07.pdf
