mes,segmento,total_publicado,total_painel,cobertura_pct,diferenca,diferenca_pct
2003-01,automoveis,96383,95963,99.564,-420,0.436
2003-01,comerciais_leves,10224,10223,99.99,-1,0.01
2003-02,automoveis,100258,99866,99.609,-392,0.391
2003-02,comerciais_leves,11447,11446,99.991,-1,0.009
2003-03,automoveis,86451,86156,99.659,-295,0.341
2003-03,comerciais_leves,9533,9532,99.99,-1,0.01
2003-04,automoveis,92118,91748,99.598,-370,0.402
2003-04,comerciais_leves,9751,9750,99.99,-1,0.01
2003-05,automoveis,89352,89099,99.717,-253,0.283
2003-05,comerciais_leves,10236,10235,99.99,-1,0.01
2003-06,automoveis,84524,84226,99.647,-298,0.353
2003-06,comerciais_leves,8878,8877,99.989,-1,0.011
2003-07,automoveis,95924,95582,99.643,-342,0.357
2003-07,comerciais_leves,10032,10031,99.99,-1,0.01
2003-08,automoveis,85079,84845,99.725,-234,0.275
2003-08,comerciais_leves,8899,8898,99.989,-1,0.011
2003-09,automoveis,107067,106711,99.667,-356,0.333
2003-09,comerciais_leves,10954,10953,99.991,-1,0.009
2003-10,automoveis,120938,119775,99.038,-1163,0.962
2003-10,comerciais_leves,11972,11971,99.992,-1,0.008
2003-11,automoveis,111051,110756,99.734,-295,0.266
2003-11,comerciais_leves,12246,12245,99.992,-1,0.008
2003-12,automoveis,145248,144970,99.809,-278,0.191
2003-12,comerciais_leves,16157,16156,99.994,-1,0.006
2004-01,automoveis,90561,90401,99.823,-160,0.177
2004-01,comerciais_leves,10439,10438,99.99,-1,0.01
2004-02,automoveis,87706,87549,99.821,-157,0.179
2004-02,comerciais_leves,10528,10527,99.991,-1,0.009
2004-03,automoveis,117360,117173,99.841,-187,0.159
2004-03,comerciais_leves,15163,15163,100.0,0,0.0
2004-04,automoveis,93760,93600,99.829,-160,0.171
2004-04,comerciais_leves,13049,13048,99.992,-1,0.008
2004-05,automoveis,101331,101168,99.839,-163,0.161
2004-05,comerciais_leves,13273,13272,99.992,-1,0.008
2004-06,automoveis,109129,108954,99.84,-175,0.16
2004-06,comerciais_leves,13216,13215,99.992,-1,0.008
2004-07,automoveis,112463,112249,99.81,-214,0.19
2004-07,comerciais_leves,12977,12976,99.992,-1,0.008
2004-08,automoveis,108307,108158,99.862,-149,0.138
2004-08,comerciais_leves,13619,13618,99.993,-1,0.007
2004-09,automoveis,114479,114314,99.856,-165,0.144
2004-09,comerciais_leves,14763,14762,99.993,-1,0.007
2004-10,automoveis,113546,113352,99.829,-194,0.171
2004-10,comerciais_leves,14788,14787,99.993,-1,0.007
2004-11,automoveis,116164,115948,99.814,-216,0.186
2004-11,comerciais_leves,14184,14182,99.986,-2,0.014
2004-12,automoveis,150188,149924,99.824,-264,0.176
2004-12,comerciais_leves,17927,17926,99.994,-1,0.006
2005-01,automoveis,88575,88427,99.833,-148,0.167
2005-01,comerciais_leves,11080,11079,99.991,-1,0.009
2005-02,automoveis,95681,95530,99.842,-151,0.158
2005-02,comerciais_leves,12213,12212,99.992,-1,0.008
2005-03,automoveis,124402,123201,99.035,-1201,0.965
2005-03,comerciais_leves,16216,16215,99.994,-1,0.006
2005-04,automoveis,114246,113994,99.779,-252,0.221
2005-04,comerciais_leves,14907,14906,99.993,-1,0.007
2005-05,automoveis,119220,118951,99.774,-269,0.226
2005-05,comerciais_leves,15846,15844,99.987,-2,0.013
2005-06,automoveis,123133,122828,99.752,-305,0.248
2005-06,comerciais_leves,16642,16641,99.994,-1,0.006
2005-07,automoveis,115200,114931,99.766,-269,0.234
2005-07,comerciais_leves,15341,15339,99.987,-2,0.013
2005-08,automoveis,126906,126619,99.774,-287,0.226
2005-08,comerciais_leves,16469,16468,99.994,-1,0.006
2005-09,automoveis,120942,120660,99.767,-282,0.233
