mes,segmento,nome_completo_fonte,unidades_acumulado,acumulado_esperado,diferenca
2016-08,automoveis,VW/VOYAGE,18752,16106.0,2646.0
2016-08,automoveis,VW/GOL,40834,43480.0,-2646.0
2015-10,automoveis,FORD/FOCUS SEDAN,8233,6177.0,2056.0
2015-10,automoveis,FORD/FOCUS,11140,13156.0,-2016.0
2018-09,automoveis,FORD/KA SEDAN,27453,26294.0,1159.0
2018-09,automoveis,FORD/KA,75458,76617.0,-1159.0
2025-09,comerciais_leves,MITSUBISHI/TRITON,8141,7019.0,1122.0
2025-09,comerciais_leves,MITSUBISHI/L200,3474,4596.0,-1122.0
2019-09,automoveis,GM/ONIX,179391,180411.0,-1020.0
2021-04,automoveis,BMW/320I,1797,899.0,898.0
2005-12,automoveis,M.BENZ/CLASSE C,821,185.0,636.0
2018-05,automoveis,TOYOTA/HILUX SW4,4935,4457.0,478.0
2016-11,automoveis,AUDI/A4,807,393.0,414.0
2016-11,comerciais_leves,TOYOTA/HILUX,30360,30742.0,-382.0
2016-11,automoveis,TOYOTA/HILUX SW4,10502,10120.0,382.0
2022-03,automoveis,RENAULT/KWID,11402,11027.0,375.0
2017-07,automoveis,CITROEN/C3,5489,5221.0,268.0
2022-03,automoveis,GM/ONIX,17348,17165.0,183.0
2022-03,automoveis,VW/T CROSS,15588,15428.0,160.0
2016-09,automoveis,HONDA/CIVIC,12707,12560.0,147.0
2022-03,automoveis,GM/TRACKER,10683,10542.0,141.0
2017-07,automoveis,VOLVO/V40,66,191.0,-125.0
2017-12,comerciais_leves,FORD/RANGER,17830,17714.0,116.0
2016-03,automoveis,VW/SPACECROSS,164,54.0,110.0
2016-03,automoveis,VW/SPACE FOX,631,741.0,-110.0
2022-03,automoveis,JEEP/COMPASS,14235,14132.0,103.0
2022-03,comerciais_leves,FIAT/STRADA,21693,21597.0,96.0
2022-09,automoveis,RENAULT/DUSTER,16264,16169.0,95.0
2016-07,automoveis,FORD/KA,41712,41806.0,-94.0
2022-03,automoveis,HYUNDAI/CRETA,12667,12576.0,91.0
2023-02,comerciais_leves,GM/MONTANA,440,350.0,90.0
2022-03,automoveis,JEEP/RENEGADE,11103,11016.0,87.0
2022-03,automoveis,RENAULT/DUSTER,4984,4901.0,83.0
2022-03,automoveis,GM/ONIX PLUS,12181,12099.0,82.0
2022-03,comerciais_leves,FIAT/TORO,10990,10913.0,77.0
2017-09,automoveis,RENAULT/DUSTER,12677,12751.0,-74.0
2016-02,automoveis,M.BENZ/CLASSE C,551,481.0,70.0
2016-02,automoveis,FORD/NEW FIESTA,614,551.0,63.0
2017-08,automoveis,RENAULT/DUSTER,11808,11871.0,-63.0
2022-03,automoveis,VW/NIVUS,7015,6955.0,60.0
2022-03,automoveis,HYUNDAI/HB20,18761,18703.0,58.0
2022-03,automoveis,TOYOTA/COROLLA CROSS,10584,10528.0,56.0
2016-09,automoveis,FORD/FIESTA,12002,11946.0,56.0
