mes,segmento,nome_completo_fonte,unidades_mes_anterior,mes_anterior_observado,diferenca
2019-09,automoveis,GM/ONIX,21377,22396.0,-1019.0
2016-08,automoveis,VW/VOYAGE,2663,1987.0,676.0
2016-08,automoveis,VW/GOL,5790,6466.0,-676.0
2016-01,automoveis,M.BENZ/CLASSE C,895,321.0,574.0
2021-04,automoveis,BMW/320I,622,51.0,571.0
2015-10,automoveis,FORD/FOCUS,932,1310.0,-378.0
2015-10,automoveis,FORD/FOCUS SEDAN,785,407.0,378.0
2022-03,automoveis,RENAULT/KWID,4637,4262.0,375.0
2017-07,automoveis,CITROEN/C3,1040,802.0,238.0
2018-01,automoveis,FORD/KA,7880,7649.0,231.0
2021-01,automoveis,TOYOTA/YARIS HB,2956,2754.0,202.0
2022-03,automoveis,GM/ONIX,6724,6541.0,183.0
2022-03,automoveis,VW/T CROSS,5278,5118.0,160.0
2020-01,automoveis,FIAT/UNO,1128,1283.0,-155.0
2016-09,automoveis,HONDA/CIVIC,596,451.0,145.0
2022-03,automoveis,GM/TRACKER,3560,3419.0,141.0
2016-11,comerciais_leves,TOYOTA/HILUX,2332,2468.0,-136.0
2016-11,automoveis,TOYOTA/HILUX SW4,966,830.0,136.0
2018-05,automoveis,TOYOTA/HILUX SW4,1096,963.0,133.0
2022-03,automoveis,JEEP/COMPASS,4607,4503.0,104.0
2025-09,comerciais_leves,MITSUBISHI/L200,181,283.0,-102.0
2025-09,comerciais_leves,MITSUBISHI/TRITON,1110,1008.0,102.0
2022-03,comerciais_leves,FIAT/STRADA,7410,7314.0,96.0
2022-09,automoveis,RENAULT/DUSTER,2182,2087.0,95.0
2022-03,automoveis,HYUNDAI/CRETA,4254,4163.0,91.0
2023-02,comerciais_leves,GM/MONTANA,90,0.0,90.0
2022-03,automoveis,JEEP/RENEGADE,2316,2229.0,87.0
2022-03,automoveis,RENAULT/DUSTER,1633,1550.0,83.0
2022-03,automoveis,GM/ONIX PLUS,4571,4489.0,82.0
2022-03,comerciais_leves,FIAT/TORO,3256,3178.0,78.0
2006-01,automoveis,M.BENZ/CLASSE C,24,96.0,-72.0
2016-02,automoveis,M.BENZ/CLASSE C,322,252.0,70.0
2016-02,automoveis,FORD/NEW FIESTA,345,282.0,63.0
2016-11,automoveis,AUDI/A4,73,13.0,60.0
2022-03,automoveis,VW/NIVUS,2477,2417.0,60.0
2022-03,automoveis,HYUNDAI/HB20,6219,6161.0,58.0
2022-03,automoveis,TOYOTA/COROLLA CROSS,3788,3732.0,56.0
2022-03,automoveis,FIAT/ARGO,4376,4321.0,55.0
2022-03,automoveis,FIAT/MOBI,4217,4162.0,55.0
2016-06,automoveis,TOYOTA/ETIOS SEDAN,2564,2510.0,54.0
2015-04,automoveis,FORD/FOCUS SEDAN,513,462.0,51.0
2020-01,automoveis,M.BENZ/CLASSE A,212,165.0,47.0
2022-03,comerciais_leves,TOYOTA/HILUX,2605,2558.0,47.0
2022-03,automoveis,JEEP/COMMANDER,1660,1614.0,46.0
2022-03,automoveis,RENAULT/SANDERO,515,469.0,46.0
2016-09,automoveis,FORD/FIESTA,1542,1496.0,46.0
2016-03,automoveis,VW/SPACECROSS,50,4.0,46.0
2016-03,automoveis,VW/SPACE FOX,204,250.0,-46.0
2022-03,automoveis,NISSAN/KICKS,1157,1112.0,45.0
2022-03,automoveis,FIAT/PULSE,1887,1843.0,44.0
2022-03,automoveis,TOYOTA/COROLLA,2772,2729.0,43.0
2022-03,automoveis,PEUGEOT/208,1889,1847.0,42.0
2022-03,automoveis,TOYOTA/YARIS HB,2109,2067.0,42.0
2022-03,automoveis,CITROEN/C4 CACTUS,1628,1587.0,41.0
2022-03,automoveis,RENAULT/CAPTUR,520,480.0,40.0
2022-03,comerciais_leves,GM/S10,2259,2225.0,34.0
2017-12,comerciais_leves,FORD/RANGER,1910,1876.0,34.0
2005-12,automoveis,M.BENZ/CLASSE C,51,18.0,33.0
2022-03,automoveis,HONDA/CITY,2359,2326.0,33.0
2016-12,automoveis,JEEP/RENEGADE,3384,3351.0,33.0
2022-03,comerciais_leves,FIAT/FIORINO,1607,1576.0,31.0
2016-12,automoveis,FORD/FUSION,410,379.0,31.0
2022-03,comerciais_leves,PEUGEOT/EXPERT,289,261.0,28.0
