marca,familia,mecanismo,variantes_painel,variantes_planilha,variantes_a_mais_na_planilha,nomes_painel,nomes_planilha,unidades_painel,unidades_planilha
BMW,SERIE,ausente do painel,0,11,11,,SERIE 1 | SERIE 2 ACTIVE TOURER | SERIE 2 GRAN COUPE | SERIE 3 | SERIE 4 | SERIE 4 CABRIO | SERIE 5 | SERIE 6 COUPE | SERIE 6 GRAN COUPE | SERIE 7 | SERIE 8 COUPE,0,59438
AUDI,RS,ausente do painel,0,7,7,,RS 3 SPORTBACK | RS 4 AVANT | RS 5 SPORTBACK | RS 6 AVANT | RS E TRON GT | RS Q3 | RS Q8,0,813
,LAMBORGHINI,ausente do painel,0,5,5,,LAMBORGHINI AVENTADOR | LAMBORGHINI GALLARDO | LAMBORGHINI HURACAN | LAMBORGHINI HURACAN SPYDER | LAMBORGHINI URUS,0,111
MITSUBISHI,PAJERO,colapso de variante (volume confere),1,5,4,PAJERO,PAJERO FULL | PAJERO FULL 3D | PAJERO HPE | PAJERO SPORT | PAJERO TR4,35283,35356
,CHANGAN,ausente do painel,0,4,4,,CHANGAN MINI STAR CS | CHANGAN STAR CS | CHANGAN STAR FAMILY | CHANGAN STAR UTILITY,0,334
CITROEN,C4,colapso de variante,3,6,3,C4 CACTUS | C4 PALLAS | C4 PICASSO,C4 CACTUS | C4 HATCH | C4 LOUNGE | C4 PALLAS | C4 PICASSO | GRAND C4 PICASSO,71433,100962
LAND ROVER,RANGE,colapso de variante,1,4,3,RANGE ROVER,RANGE ROVER | RANGE ROVER EVOQUE | RANGE ROVER SPORT | RANGE ROVER VELAR,4794,30521
CITROEN,DS,ausente do painel,0,3,3,,DS 3 | DS 4 | DS 5,0,1492
JAC,IEV,colapso de variante,1,4,3,IEV 330P,IEV 20 | IEV 330P | IEV 40 | IEV 60,21,260
FERRARI,488,colapso de variante,1,4,3,488 PISTA,488 GTB | 488 PISTA | 488 PISTA SPIDER | 488 SPIDER,4,62
KIA,BONGO,ausente do painel,0,2,2,,BONGO | BONGO K2500,0,23543
MINI,HATCH,ausente do painel,0,2,2,,HATCH 3 PORTAS | HATCH 5 PORTAS,0,10616
CAOA CHERY,CELER,ausente do painel,0,2,2,,CELER | CELER SEDAN,0,7300
PORSCHE,718,ausente do painel,0,2,2,,718 BOXSTER | 718 CAYMAN,0,2402
SHINERAY,A9,ausente do painel,0,2,2,,A9 | A9 CARGO,0,1001
AUDI,Q8,ausente do painel,0,2,2,,Q8 | Q8 SPORTBACK,0,675
HAFEI,TOWNER,colapso de variante,1,3,2,TOWNER,TOWNER FURGAO | TOWNER PASSAGEIRO | TOWNER PICK UP,284,538
SSANGYONG,ACTYON,ausente do painel,0,2,2,,ACTYON | ACTYON SPORTS,0,420
CAOA CHERY,CIELO,ausente do painel,0,2,2,,CIELO HATCH | CIELO SEDAN,0,40
,BENTLEY,ausente do painel,0,2,2,,BENTLEY CONTINENTAL GT | BENTLEY FLYING SPUR,0,32
FERRARI,812,ausente do painel,0,2,2,,812 GTS | 812 SUPERFAST,0,16
PEUGEOT,E,ausente do painel,0,2,2,,E 2008 | E 208,0,12
,EXEED,ausente do painel,0,2,2,,EXEED LX | EXEED VX LANYUE,0,7
MCLAREN,570S,ausente do painel,0,2,2,,570S | 570S SPIDER,0,5
FIAT,SIENA,colapso de variante (volume confere),1,2,1,SIENA,GRAND SIENA | SIENA,288815,288515
TOYOTA,SW4,ausente do painel,0,1,1,,SW4,0,120069
FIAT,DOBLO,colapso de variante (volume confere),1,2,1,DOBLO,DOBLO | DOBLO CARGO,61082,61115
HYUNDAI,TUCSON,colapso de variante (volume confere),1,2,1,TUCSON,NEW TUCSON | TUCSON,60480,60566
VW,TIGUAN,colapso de variante (volume confere),1,2,1,TIGUAN,TIGUAN | TIGUAN ALLSPACE,38914,39104
MITSUBISHI,OUTLANDER,colapso de variante (volume confere),1,2,1,OUTLANDER,OUTLANDER | OUTLANDER SPORT,35239,35174
AUDI,Q3,colapso de variante (volume confere),1,2,1,Q3,Q3 | Q3 SPORTBACK,29558,29931
VW,CROSSFOX,ausente do painel,0,1,1,,CROSSFOX,0,26885
VW,SPACEFOX,ausente do painel,0,1,1,,SPACEFOX,0,26249
LAND ROVER,DISCOVERY,colapso de variante (volume confere),1,2,1,DISCOVERY,DISCOVERY | DISCOVERY SPORT,25983,26080
M BENZ,GLA,ausente do painel,0,1,1,,GLA,0,20889
HONDA,CR,ausente do painel,0,1,1,,CR V,0,13800
VW,DELIVERY,ausente do painel,0,1,1,,DELIVERY EXPRESS,0,13426
