ano,entradas_5%,saidas_5%,taxa_entrada_5%,taxa_saida_5%,entradas_5%_max_movel,saidas_5%_max_movel,taxa_entrada_5%_max_movel,taxa_saida_5%_max_movel
2003,85,29,0.368,0.1255,85,29,0.368,0.1255
2004,44,31,0.1938,0.1366,44,31,0.1938,0.1366
2005,29,23,0.1318,0.1045,29,23,0.1318,0.1045
2006,39,22,0.1726,0.0973,39,22,0.1726,0.0973
2007,34,30,0.1441,0.1271,34,30,0.1441,0.1271
2008,47,28,0.1865,0.1111,47,28,0.1865,0.1111
2009,41,31,0.1583,0.1197,41,31,0.1583,0.1197
2010,36,32,0.139,0.1236,36,33,0.139,0.1274
2011,43,30,0.166,0.1158,43,30,0.166,0.1158
2012,20,20,0.08,0.08,20,20,0.08,0.08
2013,20,25,0.0844,0.1055,20,27,0.0844,0.1139
2014,16,24,0.0684,0.1026,16,26,0.0684,0.1111
2015,23,22,0.0916,0.0876,23,25,0.0916,0.0996
2016,27,40,0.1038,0.1538,27,38,0.1038,0.1462
2017,28,28,0.1041,0.1041,28,28,0.1041,0.1041
2018,33,39,0.1274,0.1506,33,41,0.1274,0.1583
2019,23,38,0.0885,0.1462,23,37,0.0885,0.1423
2020,37,37,0.1462,0.1462,37,34,0.1462,0.1344
2021,25,40,0.0996,0.1594,25,41,0.0996,0.1633
2022,26,30,0.104,0.12,26,31,0.104,0.124
2023,29,42,0.1142,0.1654,29,42,0.1142,0.1654
2024,24,41,0.0992,0.1694,24,41,0.0992,0.1694
2025,28,44,0.1239,0.1947,28,39,0.1239,0.1726
2026,22,52,0.0952,0.2251,22,56,0.0952,0.2424
