mes,ano,situacao,paginas,paginas_sem_texto,paginas_com_glifo,modelos,sub_segmentos,sub_segmentos_novos,ranking,cobertura_automoveis,cobertura_comerciais_leves,linhas_com_nome_composto,nomes_compostos_distintos
2003-01,2003,ok,44,0,0,149,17,,85,99.19,98.64,0,0
2003-02,2003,ok,44,0,0,146,17,,85,99.32,98.61,0,0
2003-03,2003,ok,44,0,0,156,17,,85,99.43,97.74,0,0
2003-04,2003,ok,44,0,0,164,17,,84,99.41,98.1,0,0
2003-05,2003,ok,44,0,0,164,17,,82,99.62,98.39,0,0
2003-06,2003,ok,44,0,0,165,17,,85,99.65,98.11,0,0
2003-07,2003,ok,44,0,0,166,17,,85,99.64,98.55,0,0
2003-08,2003,ok,44,0,0,169,17,,85,99.72,98.39,0,0
2003-09,2003,ok,44,0,0,169,17,,86,99.67,98.23,0,0
2003-10,2003,ok,10,0,0,9,1,,87,50.14,0.0,0,0
2003-11,2003,ok,44,0,0,172,17,,86,99.73,98.32,1,1
2003-12,2003,ok,44,0,0,173,17,,83,99.81,98.55,1,1
2004-01,2004,ok,44,0,0,159,17,,83,99.73,98.84,1,1
2004-02,2004,ok,44,0,0,155,17,,83,99.82,98.66,1,1
2004-03,2004,ok,44,0,0,159,17,,83,99.61,99.13,1,1
2004-04,2004,ok,44,0,0,161,17,,82,99.83,98.8,1,1
2004-05,2004,ok,44,0,0,164,17,,87,99.84,98.72,1,1
2004-06,2004,ok,44,0,0,164,17,,83,99.84,98.64,1,1
2004-07,2004,ok,44,0,0,167,17,,89,99.81,98.64,1,1
2004-08,2004,ok,44,0,0,169,17,,85,99.86,98.88,1,1
2004-09,2004,ok,44,0,0,170,17,,88,99.86,98.75,1,1
2004-10,2004,ok,44,0,0,170,17,,88,99.83,98.57,1,1
2004-11,2004,ok,44,0,0,170,17,,82,99.81,98.65,1,1
2004-12,2004,ok,44,0,0,172,17,,82,99.82,98.35,1,1
2005-01,2005,ok,44,0,0,159,17,,80,99.83,99.16,1,1
2005-02,2005,ok,44,0,0,152,17,,84,99.84,98.81,1,1
2005-03,2005,ok,10,0,0,9,1,,85,42.86,0.0,0,0
2005-04,2005,ok,44,0,0,162,17,,85,99.78,99.26,1,1
2005-05,2005,ok,44,0,0,162,17,,83,99.77,99.14,1,1
2005-06,2005,ok,44,0,0,167,17,,88,99.75,99.03,1,1
2005-07,2005,ok,44,0,0,168,17,,87,99.77,99.07,1,1
2005-08,2005,ok,44,0,0,170,17,,89,99.71,98.83,1,1
2005-09,2005,ok,44,0,0,172,17,,85,99.77,98.68,1,1
2005-10,2005,ok,44,0,0,173,17,,85,99.79,98.5,1,1
2005-11,2005,ok,44,0,0,174,17,,83,99.79,98.55,1,1
2005-12,2005,ok,43,0,0,175,17,,84,99.75,97.93,1,1
2006-01,2006,ok,44,0,0,157,17,,82,99.74,98.62,1,1
2006-02,2006,ok,44,0,0,159,17,,79,99.71,99.03,1,1
2006-03,2006,ok,44,0,0,164,17,,84,99.78,98.92,1,1
2006-04,2006,ok,44,0,0,167,17,,84,99.64,99.01,1,1
2006-05,2006,ok,44,0,0,169,17,,86,99.76,98.81,1,1
2006-06,2006,ok,44,0,0,169,17,,82,99.78,98.8,1,1
2006-07,2006,ok,44,0,0,172,17,,85,99.73,98.62,1,1
2006-08,2006,ok,44,0,0,174,17,,83,99.68,98.85,1,1
2006-09,2006,ok,44,0,0,179,17,,82,99.58,99.0,1,1
2006-10,2006,ok,44,0,0,181,17,,83,99.47,99.08,1,1
2006-11,2006,ok,44,0,0,181,17,,83,99.54,99.07,1,1
2006-12,2006,ok,44,0,0,181,17,,83,99.45,98.91,1,1
2007-01,2007,ok,44,0,0,167,17,,85,99.51,98.79,1,1
2007-02,2007,ok,44,0,0,165,17,,84,99.5,98.94,1,1
2007-03,2007,ok,44,0,0,166,17,,85,99.6,99.07,1,1
2007-04,2007,ok,44,0,0,172,17,,84,99.54,98.51,1,1
2007-05,2007,ok,44,0,0,174,17,,87,99.43,98.58,1,1
2007-06,2007,ok,44,0,0,176,17,,81,99.44,99.05,1,1
2007-07,2007,ok,44,0,0,177,17,,84,99.63,99.15,1,1
2007-08,2007,ok,44,0,0,178,17,,82,99.12,99.21,1,1
2007-09,2007,ok,44,0,0,178,17,,84,98.81,98.89,1,1
2007-10,2007,ok,44,0,0,180,17,,87,98.82,99.07,1,1
2007-11,2007,ok,44,0,0,180,17,,84,98.8,98.82,1,1
2007-12,2007,ok,44,0,0,180,17,,87,98.79,98.91,1,1
2008-01,2008,ok,44,0,0,168,17,,89,92.94,98.51,0,0
2008-02,2008,ok,44,0,0,169,17,,84,98.69,98.51,1,1
2008-03,2008,ok,45,0,0,176,17,,87,98.6,98.49,1,1
2008-04,2008,ok,44,0,0,177,17,,89,98.75,98.44,1,1
2008-05,2008,ok,44,0,0,179,17,,88,98.71,98.5,1,1
2008-06,2008,ok,44,0,0,180,17,,90,98.84,98.02,1,1
2008-07,2008,ok,44,0,0,181,17,,93,98.71,97.97,1,1
2008-08,2008,ok,44,0,0,181,17,,87,98.28,97.94,1,1
2008-09,2008,ok,44,0,0,181,17,,95,98.15,98.02,1,1
2008-10,2008,ok,44,0,0,181,17,,98,97.85,98.19,1,1
2008-11,2008,ok,44,0,0,181,17,,93,98.01,98.25,1,1
2008-12,2008,ok,44,0,0,181,17,,96,98.16,97.91,1,1
2009-01,2009,ok,44,0,0,168,17,,96,98.54,97.3,1,1
2009-02,2009,ok,44,0,0,169,17,,94,98.77,97.67,1,1
