mes,segmento,nome_completo_fonte,valor_ranking,valor_sub_segmento,diferenca,arquivo_origem
2003-01,automoveis,CITROEN/XSARA,277,62,215,2003-01.pdf
2003-02,automoveis,CITROEN/XSARA,246,81,165,2003-02.pdf
2003-03,automoveis,CITROEN/XSARA,178,63,115,2003-03.pdf
2003-04,automoveis,CITROEN/XSARA,160,49,111,2003-04.pdf
2003-04,automoveis,AUDI/A4,40,39,1,2003-04.pdf
2003-05,automoveis,CITROEN/XSARA,87,19,68,2003-05.pdf
2003-07,automoveis,CITROEN/XSARA,67,4,63,2003-07.pdf
2003-08,automoveis,CITROEN/XSARA,51,2,49,2003-08.pdf
2003-11,automoveis,CITROEN/XSARA,64,2,62,2003-11.pdf
2005-12,comerciais_leves,VW/KOMBI,1265,1231,34,2005-12.pdf
2006-01,comerciais_leves,VW/KOMBI,1406,1350,56,2006-01.pdf
2006-02,comerciais_leves,VW/KOMBI,1367,1343,24,2006-02.pdf
2006-02,comerciais_leves,VW/SAVEIRO,1133,1132,1,2006-02.pdf
2006-03,comerciais_leves,VW/KOMBI,1873,1851,22,2006-03.pdf
2006-03,comerciais_leves,VW/SAVEIRO,1827,1819,8,2006-03.pdf
2006-04,comerciais_leves,VW/SAVEIRO,1580,1569,11,2006-04.pdf
2006-04,comerciais_leves,VW/KOMBI,1522,1509,13,2006-04.pdf
2006-05,comerciais_leves,VW/SAVEIRO,1765,1743,22,2006-05.pdf
2006-05,comerciais_leves,VW/KOMBI,1570,1558,12,2006-05.pdf
2006-06,comerciais_leves,VW/SAVEIRO,1592,1567,25,2006-06.pdf
2006-06,comerciais_leves,VW/KOMBI,1532,1528,4,2006-06.pdf
2006-07,comerciais_leves,VW/KOMBI,1635,1629,6,2006-07.pdf
2006-07,comerciais_leves,VW/SAVEIRO,1609,1577,32,2006-07.pdf
2006-07,comerciais_leves,FIAT/DOBLO,213,210,3,2006-07.pdf
2006-08,comerciais_leves,VW/KOMBI,1904,1902,2,2006-08.pdf
