ano,mes_referencia_do_grupo,hhi_marca,hhi_grupo_particao_fixa,hhi_grupo_datado,marcas_que_mudam_de_grupo_no_ano,volume_dessas_marcas,ref_hhi_marca_sec7
2003,2003-12,1878.3,1913.9,1913.9,0,0,
2004,2004-12,1831.2,1861.7,1861.7,0,0,
2005,2005-12,1806.4,1834.3,1834.3,0,0,
2006,2006-12,1832.1,1854.8,1854.8,0,0,
2007,2007-12,1831.3,1851.9,1851.9,0,0,
2008,2008-12,1688.1,1707.8,1709.0,1,4295,
2009,2009-12,1691.1,1710.4,1710.4,0,0,
2010,2010-12,1544.0,1570.8,1571.5,1,1700,
2011,2011-12,1438.5,1468.9,1468.9,0,0,
2012,2012-12,1498.2,1513.6,1513.6,1,22,
2013,2013-12,1386.6,1406.1,1406.1,0,0,
2014,2014-12,1317.4,1349.0,1169.5,3,700384,1297.0
2015,2015-12,1122.8,1219.0,1219.0,0,0,
2016,2016-12,1069.0,1189.6,1189.6,0,0,1055.0
2017,2017-12,1059.4,1191.8,1191.8,0,0,
2018,2018-12,1080.6,1217.8,1217.8,0,0,
2019,2019-12,1110.2,1265.2,1265.2,0,0,
2020,2020-12,1165.1,1378.0,1378.0,0,0,1146.0
2021,2021-12,1191.0,1712.3,1712.3,0,0,
2022,2022-12,1226.6,1798.5,1798.5,0,0,1208.0
2023,2023-12,1228.0,1731.5,1731.5,0,0,
2024,2024-12,1129.3,1557.6,1557.6,0,0,
2025,2025-12,1108.4,1533.9,1533.9,0,0,
2026,2026-08,1036.9,1359.2,1359.2,0,0,
