mes_ref,hhi_marca,hhi_grupo,diferenca
2003-01,1981.6,2024.0,42.4
2003-02,1909.6,1963.8,54.2
2003-03,1952.5,1996.0,43.4
2003-04,1886.7,1931.0,44.3
2003-05,1853.9,1898.6,44.8
2003-06,1809.5,1844.9,35.4
2003-07,1794.2,1827.1,32.9
2003-08,1751.9,1789.3,37.4
2003-09,1792.2,1826.4,34.2
2003-10,1908.7,1933.7,25.0
2003-11,1941.9,1968.2,26.3
2003-12,1993.4,2017.8,24.4
2004-01,1847.2,1879.2,32.1
2004-02,1838.2,1867.9,29.7
2004-03,1841.1,1881.0,39.9
2004-04,1817.4,1851.6,34.2
2004-05,1868.3,1901.2,32.9
2004-06,1854.2,1881.9,27.7
2004-07,1793.3,1825.3,32.0
2004-08,1846.7,1879.5,32.8
2004-09,1853.2,1882.8,29.7
2004-10,1832.8,1856.8,24.0
2004-11,1817.8,1844.5,26.6
2004-12,1844.2,1870.2,26.0
2005-01,1813.2,1842.8,29.6
2005-02,1809.7,1835.4,25.7
2005-03,1825.4,1852.4,27.0
2005-04,1785.5,1812.2,26.6
2005-05,1849.8,1875.4,25.5
2005-06,1821.4,1849.7,28.3
2005-07,1841.3,1868.5,27.2
2005-08,1759.9,1792.5,32.5
2005-09,1783.3,1816.0,32.7
2005-10,1795.3,1824.1,28.8
2005-11,1846.9,1871.9,24.9
2005-12,1844.0,1871.4,27.3
2006-01,1864.8,1891.9,27.1
2006-02,1834.8,1863.1,28.3
2006-03,1840.9,1865.5,24.6
2006-04,1797.7,1823.3,25.6
2006-05,1798.0,1823.2,25.1
2006-06,1847.1,1868.1,21.0
2006-07,1852.8,1872.8,20.0
2006-08,1816.4,1835.8,19.5
2006-09,1835.1,1855.0,19.8
2006-10,1842.7,1865.2,22.5
2006-11,1866.4,1886.5,20.1
2006-12,1843.3,1865.9,22.6
2007-01,1841.0,1860.4,19.4
2007-02,1876.8,1901.9,25.1
2007-03,1851.0,1871.7,20.7
2007-04,1798.7,1816.4,17.7
2007-05,1852.5,1872.2,19.7
2007-06,1866.2,1885.8,19.6
2007-07,1902.3,1920.4,18.1
2007-08,1866.1,1883.4,17.3
2007-09,1810.8,1832.0,21.2
2007-10,1808.4,1830.8,22.4
2007-11,1800.5,1822.3,21.8
2007-12,1767.0,1790.4,23.4
2008-01,1778.5,1804.0,25.5
2008-02,1820.1,1840.2,20.1
2008-03,1763.6,1785.5,21.9
2008-04,1673.3,1696.7,23.4
2008-05,1670.6,1693.3,22.6
2008-06,1708.0,1727.3,19.3
2008-07,1717.7,1738.7,21.0
2008-08,1702.4,1721.3,18.9
2008-09,1683.3,1701.1,17.9
2008-10,1626.4,1649.0,22.6
2008-11,1623.7,1644.2,20.5
2008-12,1542.4,1559.4,17.1
2009-01,1625.0,1647.3,22.3
2009-02,1710.3,1728.4,18.0
2009-03,1768.3,1783.6,15.3
2009-04,1742.5,1758.7,16.2
2009-05,1768.0,1784.7,16.7
2009-06,1719.4,1738.0,18.5
2009-07,1755.3,1774.1,18.8
2009-08,1751.3,1768.2,16.9
2009-09,1658.3,1679.6,21.4
2009-10,1603.2,1629.2,25.9
2009-11,1691.1,1713.2,22.1
2009-12,1572.9,1595.2,22.3
2010-01,1558.6,1586.2,27.6
2010-02,1553.0,1580.3,27.3
2010-03,1537.5,1564.2,26.7
2010-04,1520.2,1552.7,32.5
2010-05,1619.6,1648.8,29.2
2010-06,1604.5,1630.0,25.5
2010-07,1604.0,1629.2,25.2
2010-08,1534.6,1563.1,28.4
2010-09,1534.7,1565.5,30.8
2010-10,1509.7,1537.1,27.4
2010-11,1539.4,1564.5,25.0
2010-12,1491.8,1516.2,24.5
2011-01,1495.8,1528.3,32.5
2011-02,1500.2,1532.1,31.9
2011-03,1461.4,1490.2,28.9
2011-04,1432.1,1467.4,35.3
2011-05,1452.5,1490.1,37.6
2011-06,1469.7,1505.0,35.3
2011-07,1481.3,1510.3,29.0
2011-08,1449.4,1479.4,30.0
2011-09,1357.5,1391.5,34.1
2011-10,1443.4,1468.9,25.5
2011-11,1424.3,1447.2,22.9
2011-12,1381.2,1403.7,22.5
2012-01,1472.6,1490.4,17.7
2012-02,1493.4,1508.9,15.5
2012-03,1461.4,1476.4,15.0
2012-04,1435.3,1453.7,18.4
2012-05,1473.6,1487.2,13.6
2012-06,1446.4,1459.6,13.2
2012-07,1546.2,1559.2,13.0
2012-08,1590.5,1603.0,12.5
2012-09,1573.9,1588.7,14.8
2012-10,1560.6,1577.3,16.6
2012-11,1522.5,1539.4,16.9
2012-12,1444.2,1461.7,17.5
2013-01,1513.9,1533.7,19.8
2013-02,1421.8,1444.7,22.8
2013-03,1427.5,1447.5,20.0
2013-04,1386.7,1407.1,20.3
2013-05,1395.9,1416.2,20.3
2013-06,1402.3,1421.5,19.2
2013-07,1373.1,1390.2,17.1
2013-08,1379.8,1397.8,18.0
2013-09,1383.2,1401.5,18.3
2013-10,1352.0,1372.1,20.1
2013-11,1351.5,1371.6,20.1
2013-12,1323.9,1342.9,19.1
2014-01,1370.3,1393.4,23.1
2014-02,1395.2,1422.5,27.3
2014-03,1388.1,1411.3,23.2
2014-04,1338.7,1360.6,21.9
2014-05,1313.0,1338.4,25.4
2014-06,1317.1,1342.2,25.1
2014-07,1336.4,1357.7,21.3
2014-08,1317.3,1341.0,23.7
2014-09,1298.0,1321.3,23.2
2014-10,1304.6,1339.0,34.4
2014-11,1274.9,1307.6,32.7
2014-12,1252.1,1284.5,32.4
2015-01,1319.3,1356.4,37.1
2015-02,1253.4,1295.3,41.9
2015-03,1184.5,1224.0,39.5
2015-04,1170.6,1219.4,48.8
2015-05,1128.9,1212.3,83.4
2015-06,1091.3,1187.3,96.0
2015-07,1095.9,1197.7,101.8
2015-08,1079.6,1209.9,130.2
2015-09,1042.2,1177.9,135.7
2015-10,1068.7,1201.8,133.1
2015-11,1071.4,1210.1,138.7
2015-12,1067.5,1216.2,148.7
2016-01,1100.1,1239.8,139.7
2016-02,1055.4,1175.6,120.2
2016-03,1043.3,1157.5,114.2
2016-04,1082.2,1192.4,110.2
2016-05,1073.4,1184.3,110.9
2016-06,1074.2,1183.4,109.2
2016-07,1094.8,1216.2,121.4
2016-08,1091.1,1201.2,110.1
2016-09,1052.8,1159.3,106.5
2016-10,1106.4,1231.9,125.5
2016-11,1096.6,1227.1,130.5
2016-12,1073.4,1217.4,144.0
2017-01,1089.0,1226.9,137.9
2017-02,1058.6,1204.3,145.7
2017-03,1026.7,1160.1,133.4
2017-04,1037.8,1171.2,133.5
2017-05,1066.0,1194.9,128.9
2017-06,1070.4,1204.2,133.7
2017-07,1084.8,1223.3,138.6
2017-08,1068.4,1208.4,140.0
2017-09,1057.8,1174.1,116.3
2017-10,1063.0,1191.5,128.5
2017-11,1077.3,1200.9,123.6
2017-12,1058.2,1191.2,133.0
2018-01,1118.0,1248.3,130.3
2018-02,1059.4,1174.5,115.0
2018-03,995.9,1128.2,132.3
2018-04,1057.5,1196.9,139.3
2018-05,1062.2,1229.4,167.3
2018-06,1082.1,1231.8,149.7
2018-07,1080.6,1228.8,148.1
2018-08,1088.9,1232.7,143.8
2018-09,1112.1,1244.8,132.7
2018-10,1113.9,1247.5,133.6
2018-11,1146.3,1262.6,116.3
2018-12,1096.7,1233.4,136.7
2019-01,1114.1,1267.4,153.3
2019-02,1082.9,1248.0,165.1
2019-03,1074.5,1221.6,147.1
2019-04,1090.5,1243.9,153.4
2019-05,1119.1,1266.0,146.9
2019-06,1108.5,1276.1,167.6
2019-07,1102.2,1266.3,164.1
2019-08,1158.4,1298.8,140.5
2019-09,1127.7,1276.4,148.7
2019-10,1116.8,1283.7,166.9
2019-11,1128.3,1288.7,160.4
2019-12,1125.2,1272.5,147.2
2020-01,1146.2,1300.1,153.9
2020-02,1110.7,1282.3,171.6
2020-03,1109.4,1275.0,165.6
2020-04,1157.9,1308.7,150.8
2020-05,1121.0,1296.1,175.1
2020-06,1091.9,1295.7,203.8
2020-07,1194.5,1402.4,207.9
2020-08,1262.5,1510.8,248.3
2020-09,1217.5,1479.3,261.8
2020-10,1198.4,1446.7,248.3
2020-11,1221.9,1466.5,244.6
2020-12,1193.7,1434.5,240.9
2021-01,1192.1,1581.9,389.8
2021-02,1271.2,1647.5,376.3
2021-03,1264.3,1668.9,404.6
2021-04,1245.0,1722.2,477.2
2021-05,1243.1,1794.1,551.0
2021-06,1301.7,2001.3,699.6
2021-07,1297.0,2052.5,755.5
2021-08,1250.2,1916.5,666.2
2021-09,1138.2,1678.9,540.7
2021-10,1171.5,1734.5,563.0
2021-11,1166.4,1630.0,463.6
2021-12,1175.3,1622.0,446.7
2022-01,1061.4,1841.9,780.5
2022-02,1190.7,1732.3,541.6
2022-03,1179.3,1722.2,542.9
2022-04,1332.2,1912.9,580.6
2022-05,1246.1,1823.2,577.2
2022-06,1157.8,1807.2,649.3
2022-07,1284.4,1720.3,435.9
2022-08,1331.0,1862.3,531.3
2022-09,1235.7,1767.5,531.8
2022-10,1288.6,1840.6,552.1
2022-11,1287.4,1952.8,665.4
2022-12,1263.9,1790.7,526.8
2023-01,1303.5,1803.3,499.9
2023-02,1233.8,1804.6,570.8
2023-03,1228.9,1815.3,586.4
2023-04,1249.9,1786.8,537.0
2023-05,1226.9,1746.6,519.6
2023-06,1301.7,1820.7,519.0
2023-07,1277.6,1726.6,449.0
2023-08,1245.1,1797.9,552.8
2023-09,1275.8,1730.0,454.2
2023-10,1207.7,1688.6,480.9
2023-11,1170.3,1765.3,595.0
2023-12,1187.9,1543.2,355.3
2024-01,1076.7,1559.4,482.7
2024-02,1120.6,1639.2,518.6
2024-03,1139.1,1590.4,451.3
2024-04,1133.3,1516.5,383.1
2024-05,1134.3,1552.7,418.4
2024-06,1069.1,1501.2,432.1
2024-07,1155.1,1638.9,483.8
2024-08,1175.2,1626.4,451.2
2024-09,1168.4,1595.3,426.9
2024-10,1135.5,1538.1,402.6
2024-11,1155.2,1531.2,376.0
2024-12,1140.5,1513.0,372.5
2025-01,1045.9,1578.0,532.0
2025-02,1081.9,1582.5,500.6
2025-03,1103.8,1530.2,426.5
2025-04,1127.6,1582.8,455.3
2025-05,1135.6,1574.5,438.9
2025-06,1140.9,1544.7,403.9
2025-07,1170.2,1562.6,392.4
2025-08,1147.3,1499.3,352.0
2025-09,1101.8,1492.0,390.2
2025-10,1102.9,1524.1,421.2
2025-11,1122.6,1520.4,397.8
2025-12,1096.6,1537.5,440.9
2026-01,1054.5,1533.3,478.8
2026-02,1134.6,1545.8,411.2
2026-03,1074.0,1404.9,330.9
2026-04,1045.2,1340.4,295.2
2026-05,1023.0,1352.9,329.9
2026-06,1055.6,1347.5,291.8
2026-07,998.3,1271.9,273.6
2026-08,999.4,1265.4,266.0
