marca_fonte,metodo,conhecida,linhas,unidades,modelos,primeiro_mes,ultimo_mes,exemplo
FIAT,barra,True,4452,12186120,54,2003-01,2026-08,FIAT/PALIO
VW,barra,True,4803,10613894,63,2003-01,2026-08,VW/GOL
GM,barra,True,5334,10275242,85,2003-01,2026-08,GM/CELTA
FORD,barra,True,3762,4599340,58,2003-01,2026-08,FORD/KA
RENAULT,barra,True,2674,3404100,31,2003-01,2026-08,RENAULT/CLIO
TOYOTA,barra,True,2367,3288711,36,2003-01,2026-08,TOYOTA/COROLLA
HYUNDAI,barra,True,1961,3179830,30,2003-01,2026-08,HYUNDAI/ELANTRA
HONDA,barra,True,1421,2391256,12,2003-01,2026-08,HONDA/CIVIC
JEEP,barra,True,583,1281351,10,2003-01,2026-08,JEEP/CHEROKEE
NISSAN,barra,True,1597,1275180,34,2003-01,2026-08,NISSAN/PATHFINDER
PEUGEOT,barra,True,2243,1060858,27,2003-01,2026-08,PEUGEOT/206
CITROEN,barra,True,1692,947392,22,2003-01,2026-08,CITROEN/C3
MITSUBISHI,barra,True,1245,739952,21,2003-01,2026-08,MITSUBISHI/SMART
KIA,barra,True,1571,360824,20,2003-01,2026-08,KIA/SPORTAGE
BYD,barra,True,342,351864,14,2016-06,2026-08,BYD/T3
CAOA CHERY,barra,True,397,303706,11,2020-03,2026-08,CAOA CHERY/QQ
M.BENZ,barra,True,3468,213267,72,2003-01,2026-08,M.BENZ/CLASSE C
BMW,barra,True,2316,172474,58,2003-01,2026-08,BMW/330
GWM,barra,True,111,131983,5,2023-05,2026-08,GWM/HAVAL H6
AUDI,barra,True,1797,120166,34,2003-01,2026-08,AUDI/A3
RAM,barra,True,305,108142,6,2016-04,2026-08,RAM/2500
LAND ROVER,barra,True,810,101864,12,2003-01,2024-12,LAND ROVER/DEFENDER
CHERY,barra,True,334,80758,10,2009-11,2020-02,CHERY/TIGGO
VOLVO,barra,True,785,76368,10,2003-01,2026-01,VOLVO/V70
IVECO,barra,True,714,63432,11,2003-01,2026-08,IVECO/3510
JAC,barra,True,541,60439,19,2011-03,2026-08,JAC/J3
