mes_ref,segmento,modelo,marca,marca_dominante,unidades,meses_totais,dominio_da_marca
2019-12,automoveis,TIGGO 7,CHERY,CAOA CHERY,320,86,0.9069767441860465
2019-07,automoveis,TIGGO 7,CHERY,CAOA CHERY,317,86,0.9069767441860465
2019-10,automoveis,TIGGO 7,CHERY,CAOA CHERY,314,86,0.9069767441860465
2020-02,automoveis,TIGGO 7,CHERY,CAOA CHERY,290,86,0.9069767441860465
2019-09,automoveis,TIGGO 7,CHERY,CAOA CHERY,255,86,0.9069767441860465
2019-08,automoveis,TIGGO 7,CHERY,CAOA CHERY,237,86,0.9069767441860465
2019-11,automoveis,TIGGO 7,CHERY,CAOA CHERY,228,86,0.9069767441860465
2020-01,automoveis,TIGGO 7,CHERY,CAOA CHERY,181,86,0.9069767441860465
2013-11,comerciais_leves,SPRINTER,DODGE,M.BENZ,66,260,0.9923076923076923
2013-11,comerciais_leves,SC,LEXUS,CHANA,42,101,0.9900990099009901
2013-11,comerciais_leves,TOPIC,ASIA,JINBEI,34,84,0.9166666666666666
2013-11,comerciais_leves,MINIVAN,DFM,HAFEI,20,83,0.9879518072289156
2017-07,comerciais_leves,SAVEIRO,VICR,VW,5,301,0.9435215946843853
2017-10,comerciais_leves,SAVEIRO,VICR,VW,5,301,0.9435215946843853
2017-08,comerciais_leves,SAVEIRO,VICR,VW,4,301,0.9435215946843853
2016-07,comerciais_leves,SAVEIRO,VICR,VW,3,301,0.9435215946843853
2017-05,comerciais_leves,SAVEIRO,VICR,VW,3,301,0.9435215946843853
2017-03,comerciais_leves,AMAROK,VICR,VW,2,199,0.9849246231155779
2017-06,comerciais_leves,SAVEIRO,VICR,VW,2,301,0.9435215946843853
2017-12,comerciais_leves,SAVEIRO,VICR,VW,2,301,0.9435215946843853
2017-11,comerciais_leves,SAVEIRO,VICR,VW,2,301,0.9435215946843853
2016-11,comerciais_leves,AMAROK,VICR,VW,1,199,0.9849246231155779
2016-07,comerciais_leves,2500,FREIGHTLINER,RAM,1,123,0.991869918699187
2003-03,comerciais_leves,TOPIC,ASIA,JINBEI,1,84,0.9166666666666666
2004-03,comerciais_leves,TOPIC,ASIA,JINBEI,1,84,0.9166666666666666
2012-03,comerciais_leves,TOPIC,ASIA,JINBEI,1,84,0.9166666666666666
2008-12,comerciais_leves,SPRINTER,DODGE,M.BENZ,1,260,0.9923076923076923
2007-07,comerciais_leves,TOPIC,ASIA,JINBEI,1,84,0.9166666666666666
2007-02,comerciais_leves,KOMBI,FORD,VW,1,215,0.9953488372093023
2008-06,comerciais_leves,TOPIC,ASIA,JINBEI,1,84,0.9166666666666666
2006-07,comerciais_leves,TOPIC,ASIA,JINBEI,1,84,0.9166666666666666
2023-09,automoveis,CELER SEDAN,CAOA CHERY,CHERY,1,60,0.9333333333333333
2017-03,comerciais_leves,SAVEIRO,VICR,VW,1,301,0.9435215946843853
2018-01,comerciais_leves,SAVEIRO,VICR,VW,1,301,0.9435215946843853
2019-02,comerciais_leves,EE34,NÃO IDENTIFICADO,ENGESA,1,12,0.9166666666666666
2017-07,comerciais_leves,AMAROK,VICR,VW,1,199,0.9849246231155779
2003-01,automoveis,SMART,MITSUBISHI,MCC,0,26,0.9615384615384616
2016-11,comerciais_leves,SAVEIRO,VICR,VW,0,301,0.9435215946843853
2016-09,comerciais_leves,SAVEIRO,VICR,VW,0,301,0.9435215946843853
2017-09,comerciais_leves,SAVEIRO,VICR,VW,0,301,0.9435215946843853
2017-04,comerciais_leves,SAVEIRO,VICR,VW,0,301,0.9435215946843853
2016-12,comerciais_leves,SAVEIRO,VICR,VW,0,301,0.9435215946843853
2016-08,comerciais_leves,SAVEIRO,VICR,VW,0,301,0.9435215946843853
2016-10,comerciais_leves,SAVEIRO,VICR,VW,0,301,0.9435215946843853
2023-10,automoveis,CELER SEDAN,CAOA CHERY,CHERY,0,60,0.9333333333333333
2023-11,automoveis,CELER SEDAN,CAOA CHERY,CHERY,0,60,0.9333333333333333
2023-12,automoveis,CELER SEDAN,CAOA CHERY,CHERY,0,60,0.9333333333333333
