piso_unidades_mes,cobertura_min_pct,cobertura_max_pct,amplitude_pp,desvio_padrao_pp,linhas_descartadas,volume_descartado,volume_descartado_pct,recomendado
0,96.63,99.85,3.22,0.664,0,0,0.0,False
1,96.63,99.85,3.22,0.664,3836,0,0.0,False
5,96.61,99.8,3.18,0.655,10586,13171,0.023,False
10,96.58,99.74,3.16,0.648,13575,33351,0.058,False
25,96.47,99.52,3.06,0.623,18184,106941,0.185,False
50,96.33,99.12,2.79,0.576,21837,237800,0.412,False
100,96.02,98.52,2.5,0.517,26076,544623,0.944,False
150,95.68,98.13,2.45,0.529,28635,859463,1.49,True
200,95.36,97.82,2.46,0.58,30528,1188260,2.059,False
300,94.47,97.27,2.8,0.789,33168,1835573,3.181,False
400,92.33,96.73,4.4,1.11,34946,2454735,4.254,False
500,90.9,95.65,4.75,1.246,36289,3056078,5.296,False
750,87.98,93.26,5.28,1.344,38773,4593583,7.961,False
1000,84.51,89.93,5.42,1.637,40891,6433638,11.15,False
