ano,mes_referencia_do_grupo,hhi_marca,hhi_grupo_mapa_atual,hhi_grupo_variante,diferenca,diferenca_pct
2014,2014-12,1317.4,1349.0,1338.7,-10.3,-0.76
2015,2015-12,1122.8,1219.0,1208.7,-10.3,-0.84
2016,2016-12,1069.0,1189.6,1179.3,-10.3,-0.87
2017,2017-12,1059.4,1191.8,1184.9,-6.9,-0.58
2018,2018-12,1080.6,1217.8,1210.3,-7.5,-0.62
2019,2019-12,1110.2,1265.2,1260.1,-5.1,-0.4
2020,2020-12,1165.1,1378.0,1373.1,-4.9,-0.36
2021,2021-12,1191.0,1712.3,1707.7,-4.6,-0.27
2022,2022-12,1226.6,1798.5,1794.6,-3.9,-0.22
2023,2023-12,1228.0,1731.5,1728.6,-2.9,-0.17
2024,2024-12,1129.3,1557.6,1555.4,-2.2,-0.14
2025,2025-12,1108.4,1533.9,1531.7,-2.2,-0.14
2026,2026-08,1036.9,1359.2,1357.0,-2.2,-0.16
