ano,entradas,entradas_ate_100,saidas,saidas_ate_100,pct_entradas_ate_100,pct_saidas_ate_100
2003,85,59,29,24,69.0,83.0
2004,44,26,31,26,59.0,84.0
2005,29,13,23,18,45.0,78.0
2006,39,15,22,18,38.0,82.0
2007,34,16,30,25,47.0,83.0
2008,47,20,28,17,43.0,61.0
2009,41,18,31,20,44.0,65.0
2010,36,15,32,16,42.0,50.0
2011,43,11,30,13,26.0,43.0
2012,20,2,20,5,10.0,25.0
2013,20,4,25,7,20.0,28.0
2014,16,3,24,5,19.0,21.0
2015,23,7,22,8,30.0,36.0
2016,27,9,40,10,33.0,25.0
2017,28,8,28,10,29.0,36.0
2018,33,19,39,15,58.0,38.0
2019,23,11,38,10,48.0,26.0
2020,37,11,37,17,30.0,46.0
2021,25,13,40,10,52.0,25.0
2022,26,9,30,13,35.0,43.0
2023,29,11,42,16,38.0,38.0
2024,24,9,41,16,38.0,39.0
2025,28,9,44,8,32.0,18.0
2026,22,8,52,23,36.0,44.0
