marca_chave,modelo_chave,nome_planilha,unidades,meses,primeiro_mes
VW,FOX,Volkswagen Fox,356252.0,110,2014-01
TOYOTA,ETIOS,Toyota Etios,210442.0,94,2014-01
TOYOTA,ETIOS SEDA,Toyota Etios Sedã,156219.0,96,2014-01
TOYOTA,YARIS,Toyota Yaris,141263.0,64,2018-05
GM,CRUZE,Chevrolet Cruze,130124.0,116,2014-01
MITSUBISHI,L200 TRITON,Mitsubishi L200 Triton,121553.0,116,2014-01
TOYOTA,SW4,Toyota SW4,120069.0,116,2014-01
TOYOTA,YARIS SEDA,Toyota Yaris Sedã,98926.0,63,2018-05
FIAT,GRAND SIENA,Fiat Grand Siena,94065.0,80,2016-11
GM,CRUZE SPORT6,Chevrolet Cruze Sport6,54495.0,116,2014-01
BMW,SERIE 3,BMW Série 3,49251.0,116,2014-01
FORD,FOCUS FASTBACK,Ford Focus Fastback,33027.0,76,2014-01
VW,TIGUAN ALLSPACE,Volkswagen Tiguan Allspace,30152.0,54,2018-05
CITROEN,C4 LOUNGE,Citroën C4 Lounge,28019.0,92,2014-01
VW,CROSSFOX,Volkswagen CrossFox,26885.0,68,2014-01
VW,SPACEFOX,Volkswagen SpaceFox,26249.0,78,2014-01
HONDA,CITY HATCHBACK,Honda City hatchback,24061.0,20,2022-01
KIA,BONGO,Kia Bongo,23204.0,114,2014-01
M BENZ,GLA,Mercedes-Benz GLA,20889.0,107,2014-10
LAND ROVER,RANGE ROVER EVOQUE,Land Rover Range Rover Evoque,19552.0,116,2014-01
HYUNDAI,NEW TUCSON,Hyundai New Tucson,19507.0,79,2017-02
LAND ROVER,DISCOVERY SPORT,Land Rover Discovery Sport,18670.0,96,2015-09
HONDA,CR V,Honda CR-V,13800.0,106,2014-01
VW,DELIVERY EXPRESS,Volkswagen Delivery Express,13426.0,55,2019-01
MITSUBISHI,PAJERO HPE,Mitsubishi Pajero HPE,13200.0,61,2014-01
HYUNDAI,SANTA FE,Hyundai Santa Fe,10909.0,91,2014-01
MINI,HATCH 3 PORTAS,Mini Hatch 3 portas,9599.0,116,2014-01
MITSUBISHI,PAJERO SPORT,Mitsubishi Pajero Sport,8468.0,54,2019-03
FIAT,DOBLO CARGO,Fiat Doblò Cargo,8202.0,76,2014-01
MITSUBISHI,PAJERO TR4,Mitsubishi Pajero TR4,7598.0,13,2014-01
M BENZ,CLA,Mercedes-Benz CLA,6544.0,116,2014-01
LAND ROVER,RANGE ROVER SPORT,Land Rover Range Rover Sport,6006.0,106,2014-01
MITSUBISHI,PAJERO FULL,Mitsubishi Pajero Full,5916.0,91,2014-01
SUZUKI,GRAND VITARA,Suzuki Grand Vitara,5820.0,42,2014-01
CAOA CHERY,CELER,CAOA Chery Celer,4893.0,59,2014-01
JEEP,GRAND CHEROKEE,Jeep Grand Cherokee,4863.0,89,2014-01
M BENZ,GLB,Mercedes-Benz GLB,4641.0,34,2020-11
JAC,T50,JAC T50,4599.0,83,2016-03
,HAVAL H6,Haval H6,4567.0,7,2023-02
BMW,SERIE 1,BMW Série 1,4537.0,95,2014-01
JAC,J2,JAC J2,3703.0,41,2014-01
JAC,J3,JAC J3,3513.0,44,2014-01
MINI,COUNTRYMAN,Mini Countryman,3473.0,97,2014-01
SUZUKI,S CROSS,Suzuki S-Cross,3288.0,75,2015-07
LAND ROVER,RANGE ROVER VELAR,Land Rover Range Rover Velar,3263.0,67,2017-12
FORD,BRONCO SPORT,Ford Bronco Sport,3181.0,29,2021-03
LIFAN,530,Lifan 530,3029.0,62,2014-10
VW,SPACE CROSS,Volkswagen Space Cross,2858.0,43,2014-01
JAGUAR,E PACE,Jaguar E-Pace,2815.0,55,2018-06
JAGUAR,F PACE,Jaguar F-Pace,2696.0,85,2016-06
LEXUS,NX,Lexus NX,2449.0,88,2015-03
CAOA CHERY,CELER SEDAN,CAOA Chery Celer Sedan,2407.0,59,2014-01
BYD,SONG PLUS DM I,BYD Song Plus DM-i,2316.0,9,2022-11
PEUGEOT,PARTNER RAPID,Peugeot Partner Rapid,2252.0,16,2022-04
BMW,SERIE 5,BMW Série 5,2172.0,116,2014-01
NISSAN,GRAND LIVINA,Nissan Grand Livina,1622.0,15,2014-01
PORSCHE,718 BOXSTER,Porsche 718 Boxster,1614.0,109,2014-01
JEEP,WRANGLER,Jeep Wrangler,1605.0,114,2014-01
BMW,SERIE 4,BMW Série 4,1411.0,83,2014-03
KIA,GRAND CARNIVAL,Kia Grand Carnival,1361.0,84,2014-01
AUDI,A5 SPORTBACK,Audi A5 Sportback,1348.0,43,2018-01
LEXUS,UX,Lexus UX,1309.0,52,2019-05
RELY,PICK UP,Rely Pick-up,1286.0,53,2014-01
AUDI,Q7,Audi Q7,1231.0,114,2014-01
PEUGEOT,5008,Peugeot 5008,1210.0,34,2018-04
CITROEN,C4 HATCH,Citroën C4 Hatch,1203.0,15,2014-01
AUDI,TT COUPE,Audi TT Coupé,1068.0,66,2014-01
PEUGEOT,207 PASSION,Peugeot 207 Passion,1044.0,12,2014-01
MINI,HATCH 5 PORTAS,Mini Hatch 5 portas,1017.0,47,2015-03
SMART,FORTWO,Smart ForTwo,1006.0,31,2014-01
VOLVO,C40,Volvo C40,964.0,20,2022-01
M BENZ,SLC,Mercedes-Benz SLC,958.0,68,2014-01
BMW,SERIE 2 ACTIVE TOURER,BMW Série 2 Active Tourer,951.0,51,2015-03
CAOA CHERY,FACE,CAOA Chery Face,900.0,22,2014-01
JINBEI,TOPIC PASSAGEIRO,Jinbei Topic Passageiro,841.0,43,2014-01
PORSCHE,718 CAYMAN,Porsche 718 Cayman,788.0,107,2014-01
AUDI,E TRON,Audi e-tron,733.0,31,2021-02
VW,TOUAREG,Volkswagen Touareg,726.0,50,2014-01
FORD,F 150,Ford F-150,726.0,8,2023-01
FOTON,1039,Foton 1039,712.0,77,2017-01
MINI,CABRIO,Mini Cabrio,708.0,63,2014-01
AUDI,Q8,Audi Q8,672.0,39,2020-06
SUBARU,IMPREZA,Subaru Impreza,650.0,30,2014-01
GEELY,EC7,Geely EC7,644.0,40,2014-01
BYD,YUAN PLUS EV,BYD Yuan Plus EV,643.0,9,2022-12
SHINERAY,A9,Shineray A9,614.0,36,2014-01
LEXUS,CT,Lexus CT,571.0,61,2015-01
GEELY,GC2,Geely GC2,566.0,34,2014-10
BMW,M1,BMW M1,520.0,77,2014-10
CITROEN,DS 4,Citroën DS 4,511.0,30,2014-01
LEXUS,ES,Lexus ES,508.0,99,2014-01
CITROEN,DS 5,Citroën DS 5,492.0,53,2014-01
CITROEN,DS 3,Citroën DS 3,489.0,44,2014-01
HYUNDAI,VELOSTER,Hyundai Veloster,432.0,17,2014-01
HAFEI,TOWNER PICK UP,Hafei Towner Pick-up,410.0,51,2014-01
BMW,SERIE 2 GRAN COUPE,BMW Série 2 Gran Coupé,409.0,37,2020-05
SHINERAY,A9 CARGO,Shineray A9 Cargo,387.0,32,2014-01
JAC,T60,JAC T60,368.0,37,2019-12
SSANGYONG,ACTYON SPORTS,SsangYong Actyon Sports,365.0,50,2014-01
JAC,E JS4,JAC e-JS4,350.0,25,2021-08
AUDI,S3 SPORTBACK,Audi S3 Sportback,347.0,45,2014-03
SUBARU,OUTBACK,Subaru Outback,346.0,63,2014-01
KIA,BONGO K2500,Kia Bongo K2500,339.0,3,2023-04
MAHINDRA,PIK UP,Mahindra Pik Up,338.0,21,2014-01
BYD,D1 EV,BYD D1 EV,335.0,11,2022-05
BMW,SERIE 7,BMW Série 7,326.0,79,2014-01
AUDI,RS Q3,Audi RS Q3,324.0,56,2014-06
MAHINDRA,JIPE,Mahindra Jipe,324.0,18,2014-01
LEXUS,RX,Lexus RX,319.0,65,2014-01
KIA,NIRO,Kia Niro,318.0,11,2020-11
LIFAN,X80,Lifan X80,318.0,32,2018-05
M BENZ,CLASSE S,Mercedes-Benz Classe S,291.0,80,2014-01
SUZUKI,SWIFT,Suzuki Swift,290.0,33,2014-10
AUDI,RS 6 AVANT,Audi RS 6 Avant,285.0,68,2016-01
SHINERAY,T20,Shineray T20,283.0,46,2014-01
AUDI,SQ5,Audi SQ5,279.0,58,2014-05
JAGUAR,I PACE,Jaguar I-Pace,264.0,50,2019-04
BMW,M5,BMW M5,252.0,67,2014-02
BYD,TAN,BYD Tan,251.0,16,2022-03
EFFA,START PICAPE,Effa Start Picape,250.0,40,2014-02
SSANGYONG,KYRON,SsangYong Kyron,232.0,28,2014-01
KIA,CADENZA,Kia Cadenza,223.0,42,2014-01
BMW,IX,BMW iX,222.0,8,2023-01
CAOA CHERY,ARRIZO 5E,CAOA Chery Arrizo 5e,220.0,2,2019-09
BMW,SERIE 4 CABRIO,BMW Série 4 Cabrio,216.0,19,2022-01
,CHANGAN STAR CS,Changan Star CS,212.0,22,2014-01
MINI,CLUBMAN,Mini Clubman,200.0,45,2015-11
CITROEN,GRAND C4 PICASSO,Citroën Grand C4 Picasso,192.0,8,2014-01
BMW,X7,BMW X7,180.0,24,2019-08
MITSUBISHI,PAJERO FULL 3D,Mitsubishi Pajero Full 3D,174.0,15,2017-10
SHINERAY,T22,Shineray T22,173.0,35,2014-01
AUDI,A7 SPORTBACK,Audi A7 Sportback,169.0,60,2014-01
M BENZ,GLS,Mercedes-Benz GLS,169.0,41,2014-01
AUDI,RS 3 SPORTBACK,Audi RS 3 Sportback,166.0,19,2016-01
CHRYSLER,300,Chrysler 300,161.0,38,2014-01
MINI,PACEMAN,Mini Paceman,146.0,18,2014-01
JAC,T80,JAC T80,145.0,25,2019-03
BMW,SERIE 6 GRAN COUPE,BMW Série 6 Gran Coupé,142.0,30,2014-01
MITSUBISHI,OUTLANDER SPORT,Mitsubishi Outlander Sport,139.0,3,2020-09
JAC,IEV 40,JAC iEV 40,138.0,21,2019-07
GM,BOLT EV,Chevrolet Bolt EV,137.0,10,2021-01
KIA,MOHAVE,Kia Mohave,123.0,42,2014-01
LEXUS,IS,Lexus IS,121.0,19,2014-06
AGRALE,MARRUA,Agrale Marruá,117.0,50,2014-01
MASERATI,LEVANTE,Maserati Levante,114.0,46,2016-12
AUDI,TT RS COUPE,Audi TT RS Coupé,108.0,8,2021-03
,CHANGAN STAR FAMILY,Changan Star Family,106.0,7,2015-03
JAC,IEV 20,JAC iEV 20,95.0,27,2020-02
BMW,IX3,BMW iX3,94.0,4,2023-02
MINI,ELECTRIC,Mini Electric,93.0,5,2021-05
HAFEI,TOWNER FURGAO,Hafei Towner Furgão,92.0,20,2014-01
AUDI,TTS COUPE,Audi TTS Coupé,91.0,20,2017-10
JAGUAR,XJ,Jaguar XJ,81.0,45,2014-01
AUDI,Q5 SPORTBACK,Audi Q5 Sportback,79.0,1,2023-02
PEUGEOT,508,Peugeot 508,65.0,8,2014-01
AUDI,Q3 SPORTBACK,Audi Q3 Sportback,65.0,1,2023-02
BMW,M8,BMW M8,60.0,17,2020-09
SSANGYONG,ACTYON,SsangYong Actyon,55.0,15,2014-01
LIFAN,320,Lifan 320,53.0,13,2014-01
,LAMBORGHINI URUS,Lamborghini Urus,48.0,23,2018-12
MINI,ROADSTER,Mini Roadster,46.0,8,2014-01
SSANGYONG,REXTON,SsangYong Rexton,44.0,18,2014-10
AUDI,A8,Audi A8,44.0,23,2014-03
CAOA CHERY,S 18,CAOA Chery S-18,41.0,10,2014-01
FERRARI,458,Ferrari 458,40.0,24,2014-01
KIA,STINGER,Kia Stinger,37.0,19,2018-01
HAFEI,TOWNER PASSAGEIRO,Hafei Towner Passageiro,36.0,12,2014-01
,LAMBORGHINI HURACAN,Lamborghini Huracan,35.0,26,2014-10
HYUNDAI,EQUUS,Hyundai Equus,33.0,7,2014-01
M BENZ,GLC COUPE,Mercedes-Benz GLC Coupé,32.0,1,2023-02
TOYOTA,COROLLA HATCH,Toyota Corolla Hatch,32.0,2,2023-07
AUDI,RS 4 AVANT,Audi RS 4 Avant,32.0,6,2020-12
MINI,COUPE,Mini Coupé,32.0,5,2014-01
MASERATI,GHIBLI,Maserati Ghibli,31.0,25,2014-04
HYUNDAI,HD 80,Hyundai HD 80,31.0,2,2019-06
HYUNDAI,GENESIS,Hyundai Genesis,30.0,14,2014-01
JAC,IEV750V,JAC iEV750V,30.0,10,2022-06
CAOA CHERY,CIELO HATCH,CAOA Chery Cielo hatch,29.0,10,2014-01
MINI,ONE,Mini One,27.0,6,2016-01
,BENTLEY CONTINENTAL GT,Bentley Continental GT,25.0,19,2014-04
SSANGYONG,TIVOLI,SsangYong Tivoli,24.0,9,2018-04
M BENZ,GLE COUPE,Mercedes-Benz GLE Coupé,24.0,1,2023-02
NISSAN,TIIDA,Nissan Tiida,23.0,9,2014-01
FERRARI,PORTOFINO,Ferrari Portofino,23.0,16,2018-10
FERRARI,488 SPIDER,Ferrari 488 Spider,22.0,18,2016-09
ASTON MARTIN,VANTAGE,Aston Martin Vantage,22.0,15,2021-07
BMW,SERIE 8 COUPE,BMW Série 8 Coupé,21.0,10,2019-06
HYUNDAI,SONATA,Hyundai Sonata,19.0,12,2014-01
FERRARI,F8 TRIBUTO,Ferrari F8 Tributo,19.0,14,2020-06
MCLAREN,720S,McLaren 720S,18.0,14,2018-05
FERRARI,488 GTB,Ferrari 488 GTB,18.0,15,2015-12
KIA,QUORIS,Kia Quoris,17.0,11,2015-02
FERRARI,CALIFORNIA,Ferrari California,17.0,13,2014-01
LIFAN,620,Lifan 620,17.0,6,2014-01
MCLAREN,756LT,McLaren 756LT,15.0,10,2021-03
,CHANGAN STAR UTILITY,Changan Star Utility,14.0,2,2014-06
M BENZ,SL,Mercedes-Benz SL,14.0,10,2014-05
JAGUAR,XK,Jaguar XK,14.0,8,2014-05
,LAMBORGHINI AVENTADOR,Lamborghini Aventador,13.0,12,2015-03
M BENZ,CLASSE G,Mercedes-Benz Classe G,12.0,6,2014-01
ASTON MARTIN,DBX,Aston Martin DBX,11.0,9,2022-04
