ano,ativos,entradas_3%,saidas_3%,taxa_entrada_3%,taxa_saida_3%,entradas_5%,saidas_5%,taxa_entrada_5%,taxa_saida_5%,entradas_10%,saidas_10%,taxa_entrada_10%,taxa_saida_10%
2003,231,85,27,0.368,0.1169,85,29,0.368,0.1255,85,30,0.368,0.1299
2004,227,44,33,0.1938,0.1454,44,31,0.1938,0.1366,44,30,0.1938,0.1322
2005,220,29,22,0.1318,0.1,29,23,0.1318,0.1045,29,23,0.1318,0.1045
2006,226,39,23,0.1726,0.1018,39,22,0.1726,0.0973,39,24,0.1726,0.1062
2007,236,34,29,0.1441,0.1229,34,30,0.1441,0.1271,34,29,0.1441,0.1229
2008,252,47,28,0.1865,0.1111,47,28,0.1865,0.1111,47,28,0.1865,0.1111
2009,259,41,30,0.1583,0.1158,41,31,0.1583,0.1197,41,31,0.1583,0.1197
2010,259,36,33,0.139,0.1274,36,32,0.139,0.1236,36,32,0.139,0.1236
2011,259,43,29,0.166,0.112,43,30,0.166,0.1158,43,30,0.166,0.1158
2012,250,20,21,0.08,0.084,20,20,0.08,0.08,20,20,0.08,0.08
2013,237,20,25,0.0844,0.1055,20,25,0.0844,0.1055,20,27,0.0844,0.1139
2014,234,16,21,0.0684,0.0897,16,24,0.0684,0.1026,16,26,0.0684,0.1111
2015,251,23,23,0.0916,0.0916,23,22,0.0916,0.0876,23,27,0.0916,0.1076
2016,260,27,37,0.1038,0.1423,27,40,0.1038,0.1538,27,38,0.1038,0.1462
2017,269,28,30,0.1041,0.1115,28,28,0.1041,0.1041,28,26,0.1041,0.0967
2018,259,33,40,0.1274,0.1544,33,39,0.1274,0.1506,33,41,0.1274,0.1583
2019,260,23,37,0.0885,0.1423,23,38,0.0885,0.1462,23,36,0.0885,0.1385
2020,253,37,37,0.1462,0.1462,37,37,0.1462,0.1462,37,39,0.1462,0.1542
2021,251,25,41,0.0996,0.1633,25,40,0.0996,0.1594,25,38,0.0996,0.1514
2022,250,26,30,0.104,0.12,26,30,0.104,0.12,26,32,0.104,0.128
2023,254,29,44,0.1142,0.1732,29,42,0.1142,0.1654,29,41,0.1142,0.1614
2024,242,24,42,0.0992,0.1736,24,41,0.0992,0.1694,24,37,0.0992,0.1529
2025,226,28,40,0.1239,0.177,28,44,0.1239,0.1947,28,43,0.1239,0.1903
2026,231,22,56,0.0952,0.2424,22,52,0.0952,0.2251,22,53,0.0952,0.2294
