ano,ativos [todos],entradas_5% [todos],saidas_5% [todos],taxa_entrada_5% [todos],taxa_saida_5% [todos],ativos [pico >= 10/mes],entradas_5% [pico >= 10/mes],saidas_5% [pico >= 10/mes],taxa_entrada_5% [pico >= 10/mes],taxa_saida_5% [pico >= 10/mes],ativos [pico >= 50/mes],entradas_5% [pico >= 50/mes],saidas_5% [pico >= 50/mes],taxa_entrada_5% [pico >= 50/mes],taxa_saida_5% [pico >= 50/mes]
2003,231,85,29,0.368,0.1255,147,28,6,0.1905,0.0408,128,23,4,0.1797,0.0312
2004,227,44,31,0.1938,0.1366,159,20,7,0.1258,0.044,137,13,3,0.0949,0.0219
2005,220,29,23,0.1318,0.1045,161,18,6,0.1118,0.0373,139,11,2,0.0791,0.0144
2006,226,39,22,0.1726,0.0973,177,26,6,0.1469,0.0339,150,17,2,0.1133,0.0133
2007,236,34,30,0.1441,0.1271,187,18,7,0.0963,0.0374,159,13,5,0.0818,0.0314
2008,252,47,28,0.1865,0.1111,207,29,12,0.1401,0.058,180,26,5,0.1444,0.0278
2009,259,41,31,0.1583,0.1197,214,24,13,0.1121,0.0607,189,19,8,0.1005,0.0423
2010,259,36,32,0.139,0.1236,218,24,17,0.1101,0.078,198,20,13,0.101,0.0657
2011,259,43,30,0.166,0.1158,228,33,19,0.1447,0.0833,210,29,15,0.1381,0.0714
2012,250,20,20,0.08,0.08,230,18,15,0.0783,0.0652,207,14,15,0.0676,0.0725
2013,237,20,25,0.0844,0.1055,229,20,23,0.0873,0.1004,201,11,17,0.0547,0.0846
2014,234,16,24,0.0684,0.1026,227,14,22,0.0617,0.0969,201,10,18,0.0498,0.0896
2015,251,23,22,0.0916,0.0876,229,16,15,0.0699,0.0655,205,13,14,0.0634,0.0683
2016,260,27,40,0.1038,0.1538,233,17,30,0.073,0.1288,208,13,22,0.0625,0.1058
2017,269,28,28,0.1041,0.1041,242,21,21,0.0868,0.0868,211,13,15,0.0616,0.0711
2018,259,33,39,0.1274,0.1506,220,13,24,0.0591,0.1091,200,11,18,0.055,0.09
2019,260,23,38,0.0885,0.1462,223,12,28,0.0538,0.1256,202,10,23,0.0495,0.1139
2020,253,37,37,0.1462,0.1462,217,28,20,0.129,0.0922,186,17,16,0.0914,0.086
2021,251,25,40,0.0996,0.1594,221,15,32,0.0679,0.1448,190,12,27,0.0632,0.1421
2022,250,26,30,0.104,0.12,218,19,21,0.0872,0.0963,190,17,15,0.0895,0.0789
2023,254,29,42,0.1142,0.1654,220,21,26,0.0955,0.1182,190,14,18,0.0737,0.0947
2024,242,24,41,0.0992,0.1694,214,17,25,0.0794,0.1168,190,13,23,0.0684,0.1211
2025,226,28,44,0.1239,0.1947,212,22,39,0.1038,0.184,180,15,32,0.0833,0.1778
2026,231,22,52,0.0952,0.2251,208,18,30,0.0865,0.1442,176,15,20,0.0852,0.1136
