ano,ativos [todos],entradas_5% [todos],saidas_5% [todos],taxa_entrada_5% [todos],taxa_saida_5% [todos],ativos [acima de 100],entradas_5% [acima de 100],saidas_5% [acima de 100],taxa_entrada_5% [acima de 100],taxa_saida_5% [acima de 100],ativos [acima de 1000],entradas_5% [acima de 1000],saidas_5% [acima de 1000],taxa_entrada_5% [acima de 1000],taxa_saida_5% [acima de 1000]
2003,231,85,29,0.368,0.1255,143,26,5,0.1818,0.035,119,22,0,0.1849,0.0
2004,227,44,31,0.1938,0.1366,155,18,5,0.1161,0.0323,127,10,0,0.0787,0.0
2005,220,29,23,0.1318,0.1045,160,16,5,0.1,0.0312,133,10,1,0.0752,0.0075
2006,226,39,22,0.1726,0.0973,175,24,4,0.1371,0.0229,146,17,1,0.1164,0.0068
2007,236,34,30,0.1441,0.1271,187,18,5,0.0963,0.0267,157,13,3,0.0828,0.0191
2008,252,47,28,0.1865,0.1111,207,27,11,0.1304,0.0531,178,24,5,0.1348,0.0281
2009,259,41,31,0.1583,0.1197,216,23,11,0.1065,0.0509,186,16,7,0.086,0.0376
2010,259,36,32,0.139,0.1236,218,21,16,0.0963,0.0734,195,18,10,0.0923,0.0513
2011,259,43,30,0.166,0.1158,228,32,17,0.1404,0.0746,211,29,14,0.1374,0.0664
2012,250,20,20,0.08,0.08,231,18,15,0.0779,0.0649,210,14,15,0.0667,0.0714
2013,237,20,25,0.0844,0.1055,223,16,18,0.0717,0.0807,200,10,16,0.05,0.08
2014,234,16,24,0.0684,0.1026,226,13,19,0.0575,0.0841,197,6,15,0.0305,0.0761
2015,251,23,22,0.0916,0.0876,230,16,14,0.0696,0.0609,201,13,12,0.0647,0.0597
2016,260,27,40,0.1038,0.1538,235,18,30,0.0766,0.1277,202,8,22,0.0396,0.1089
2017,269,28,28,0.1041,0.1041,242,20,18,0.0826,0.0744,205,12,11,0.0585,0.0537
2018,259,33,39,0.1274,0.1506,224,14,24,0.0625,0.1071,196,8,15,0.0408,0.0765
2019,260,23,38,0.0885,0.1462,227,12,28,0.0529,0.1233,197,7,20,0.0355,0.1015
2020,253,37,37,0.1462,0.1462,219,26,20,0.1187,0.0913,181,14,17,0.0773,0.0939
2021,251,25,40,0.0996,0.1594,220,12,30,0.0545,0.1364,183,10,24,0.0546,0.1311
2022,250,26,30,0.104,0.12,216,17,17,0.0787,0.0787,177,10,12,0.0565,0.0678
2023,254,29,42,0.1142,0.1654,220,18,26,0.0818,0.1182,176,9,13,0.0511,0.0739
2024,242,24,41,0.0992,0.1694,213,15,25,0.0704,0.1174,178,9,17,0.0506,0.0955
2025,226,28,44,0.1239,0.1947,207,19,36,0.0918,0.1739,168,11,25,0.0655,0.1488
2026,231,22,52,0.0952,0.2251,203,14,29,0.069,0.1429,166,12,14,0.0723,0.0843
