mes_ref,segmento,sub_segmento_fonte,linhas,menor_listado,teto,no_teto,corte
2003-01,automoveis,Grandcab,4,62,4,True,62
2003-01,automoveis,Hatch Médios,6,298,6,True,298
2003-01,automoveis,Hatch Pequenos,7,0,12,False,0
2003-01,automoveis,Monocab,7,5,11,False,0
2003-01,automoveis,Sedans Compactos,5,0,6,False,0
2003-01,automoveis,Sedans Grandes,12,10,12,True,10
2003-01,automoveis,Sedans Pequenos,7,0,10,False,0
2003-01,automoveis,Sedans médios,12,1,21,False,0
2003-01,automoveis,Sports,9,1,9,True,1
2003-01,automoveis,Suv's,36,0,40,False,0
2003-01,automoveis,Sw Grandes,5,0,13,False,0
2003-01,automoveis,Sw Médios,4,2,4,True,2
2003-01,automoveis,Veículos de Entrada,8,3,9,False,0
2003-01,comerciais_leves,Furgões,7,73,7,True,73
2003-01,comerciais_leves,Furgões Pequenos,4,61,4,True,61
2003-01,comerciais_leves,Pick-up's Grandes,10,0,11,False,0
2003-01,comerciais_leves,Pick-up's Pequenas,6,0,6,True,0
2003-02,automoveis,Grandcab,4,81,4,True,81
2003-02,automoveis,Hatch Médios,6,248,6,True,248
2003-02,automoveis,Hatch Pequenos,7,0,12,False,0
2003-02,automoveis,Monocab,8,1,11,False,0
2003-02,automoveis,Sedans Compactos,4,0,6,False,0
2003-02,automoveis,Sedans Grandes,12,13,12,True,13
2003-02,automoveis,Sedans Pequenos,6,1,10,False,0
2003-02,automoveis,Sedans médios,12,0,21,False,0
2003-02,automoveis,Sports,9,0,9,True,0
2003-02,automoveis,Suv's,35,0,40,False,0
2003-02,automoveis,Sw Grandes,5,3,13,False,0
2003-02,automoveis,Sw Médios,4,3,4,True,3
2003-02,automoveis,Veículos de Entrada,8,0,9,False,0
2003-02,comerciais_leves,Furgões,7,54,7,True,54
2003-02,comerciais_leves,Furgões Pequenos,4,45,4,True,45
2003-02,comerciais_leves,Pick-up's Grandes,10,0,11,False,0
2003-02,comerciais_leves,Pick-up's Pequenas,5,0,6,False,0
2003-03,automoveis,Grandcab,4,63,4,True,63
2003-03,automoveis,Hatch Médios,6,145,6,True,145
2003-03,automoveis,Hatch Pequenos,8,0,12,False,0
2003-03,automoveis,Monocab,8,0,11,False,0
2003-03,automoveis,Sedans Compactos,5,0,6,False,0
2003-03,automoveis,Sedans Grandes,12,3,12,True,3
2003-03,automoveis,Sedans Pequenos,6,0,10,False,0
2003-03,automoveis,Sedans médios,14,1,21,False,0
2003-03,automoveis,Sports,9,0,9,True,0
2003-03,automoveis,Suv's,39,0,40,False,0
2003-03,automoveis,Sw Grandes,6,0,13,False,0
2003-03,automoveis,Sw Médios,4,6,4,True,6
2003-03,automoveis,Veículos de Entrada,8,0,9,False,0
2003-03,comerciais_leves,Furgões,7,44,7,True,44
2003-03,comerciais_leves,Furgões Pequenos,4,51,4,True,51
2003-03,comerciais_leves,Pick-up's Grandes,11,0,11,True,0
2003-03,comerciais_leves,Pick-up's Pequenas,5,0,6,False,0
2003-04,automoveis,Grandcab,4,49,4,True,49
2003-04,automoveis,Hatch Médios,6,128,6,True,128
2003-04,automoveis,Hatch Pequenos,9,0,12,False,0
2003-04,automoveis,Monocab,9,0,11,False,0
2003-04,automoveis,Sedans Compactos,5,0,6,False,0
2003-04,automoveis,Sedans Grandes,12,6,12,True,6
2003-04,automoveis,Sedans Pequenos,8,0,10,False,0
2003-04,automoveis,Sedans médios,16,0,21,False,0
2003-04,automoveis,Sports,9,2,9,True,2
2003-04,automoveis,Suv's,40,0,40,True,0
2003-04,automoveis,Sw Grandes,6,0,13,False,0
2003-04,automoveis,Sw Médios,4,1,4,True,1
2003-04,automoveis,Veículos de Entrada,9,0,9,True,0
2003-04,comerciais_leves,Furgões,7,61,7,True,61
2003-04,comerciais_leves,Furgões Pequenos,4,78,4,True,78
2003-04,comerciais_leves,Pick-up's Grandes,11,0,11,True,0
2003-04,comerciais_leves,Pick-up's Pequenas,5,0,6,False,0
2003-05,automoveis,Grandcab,4,19,4,True,19
2003-05,automoveis,Hatch Médios,6,244,6,True,244
2003-05,automoveis,Hatch Pequenos,9,0,12,False,0
2003-05,automoveis,Monocab,9,0,11,False,0
2003-05,automoveis,Sedans Compactos,5,0,6,False,0
2003-05,automoveis,Sedans Grandes,12,2,12,True,2
2003-05,automoveis,Sedans Pequenos,8,0,10,False,0
2003-05,automoveis,Sedans médios,16,0,21,False,0
2003-05,automoveis,Sports,9,0,9,True,0
2003-05,automoveis,Suv's,40,0,40,True,0
2003-05,automoveis,Sw Grandes,6,1,13,False,0
2003-05,automoveis,Sw Médios,4,1,4,True,1
2003-05,automoveis,Veículos de Entrada,9,0,9,True,0
2003-05,comerciais_leves,Furgões,7,57,7,True,57
2003-05,comerciais_leves,Furgões Pequenos,4,72,4,True,72
2003-05,comerciais_leves,Pick-up's Grandes,11,0,11,True,0
2003-05,comerciais_leves,Pick-up's Pequenas,5,0,6,False,0
2003-06,automoveis,Grandcab,4,8,4,True,8
2003-06,automoveis,Hatch Médios,6,258,6,True,258
2003-06,automoveis,Hatch Pequenos,9,0,12,False,0
2003-06,automoveis,Monocab,9,0,11,False,0
2003-06,automoveis,Sedans Compactos,5,0,6,False,0
2003-06,automoveis,Sedans Grandes,12,1,12,True,1
2003-06,automoveis,Sedans Pequenos,8,0,10,False,0
2003-06,automoveis,Sedans médios,16,0,21,False,0
2003-06,automoveis,Sports,9,0,9,True,0
2003-06,automoveis,Suv's,40,0,40,True,0
2003-06,automoveis,Sw Grandes,6,1,13,False,0
2003-06,automoveis,Sw Médios,4,1,4,True,1
2003-06,automoveis,Veículos de Entrada,9,0,9,True,0
2003-06,comerciais_leves,Furgões,7,49,7,True,49
2003-06,comerciais_leves,Furgões Pequenos,4,46,4,True,46
2003-06,comerciais_leves,Pick-up's Grandes,11,0,11,True,0
2003-06,comerciais_leves,Pick-up's Pequenas,6,0,6,True,0
2003-07,automoveis,Grandcab,4,4,4,True,4
2003-07,automoveis,Hatch Médios,6,217,6,True,217
2003-07,automoveis,Hatch Pequenos,9,0,12,False,0
2003-07,automoveis,Monocab,9,0,11,False,0
2003-07,automoveis,Sedans Compactos,5,0,6,False,0
2003-07,automoveis,Sedans Grandes,12,2,12,True,2
2003-07,automoveis,Sedans Pequenos,8,0,10,False,0
2003-07,automoveis,Sedans médios,16,0,21,False,0
2003-07,automoveis,Sports,9,0,9,True,0
2003-07,automoveis,Suv's,40,0,40,True,0
2003-07,automoveis,Sw Grandes,7,1,13,False,0
2003-07,automoveis,Sw Médios,4,2,4,True,2
2003-07,automoveis,Veículos de Entrada,9,0,9,True,0
2003-07,comerciais_leves,Furgões,7,46,7,True,46
2003-07,comerciais_leves,Furgões Pequenos,4,71,4,True,71
2003-07,comerciais_leves,Pick-up's Grandes,11,0,11,True,0
2003-07,comerciais_leves,Pick-up's Pequenas,6,1,6,True,1
2003-08,automoveis,Grandcab,4,2,4,True,2
2003-08,automoveis,Hatch Médios,6,209,6,True,209
2003-08,automoveis,Hatch Pequenos,9,0,12,False,0
2003-08,automoveis,Monocab,9,0,11,False,0
2003-08,automoveis,Sedans Compactos,6,1,6,True,1
2003-08,automoveis,Sedans Grandes,12,2,12,True,2
2003-08,automoveis,Sedans Pequenos,8,0,10,False,0
2003-08,automoveis,Sedans médios,17,0,21,False,0
2003-08,automoveis,Sports,9,1,9,True,1
2003-08,automoveis,Suv's,40,0,40,True,0
2003-08,automoveis,Sw Grandes,8,0,13,False,0
2003-08,automoveis,Sw Médios,4,2,4,True,2
2003-08,automoveis,Veículos de Entrada,9,0,9,True,0
2003-08,comerciais_leves,Furgões,7,42,7,True,42
2003-08,comerciais_leves,Furgões Pequenos,4,68,4,True,68
2003-08,comerciais_leves,Pick-up's Grandes,11,0,11,True,0
2003-08,comerciais_leves,Pick-up's Pequenas,6,0,6,True,0
2003-09,automoveis,Grandcab,4,5,4,True,5
2003-09,automoveis,Hatch Médios,6,175,6,True,175
2003-09,automoveis,Hatch Pequenos,9,0,12,False,0
2003-09,automoveis,Monocab,9,0,11,False,0
2003-09,automoveis,Sedans Compactos,6,0,6,True,0
2003-09,automoveis,Sedans Grandes,12,0,12,True,0
2003-09,automoveis,Sedans Pequenos,8,0,10,False,0
2003-09,automoveis,Sedans médios,17,0,21,False,0
2003-09,automoveis,Sports,9,0,9,True,0
2003-09,automoveis,Suv's,40,0,40,True,0
2003-09,automoveis,Sw Grandes,8,0,13,False,0
2003-09,automoveis,Sw Médios,4,0,4,True,0
2003-09,automoveis,Veículos de Entrada,9,3,9,True,3
2003-09,comerciais_leves,Furgões,7,47,7,True,47
2003-09,comerciais_leves,Furgões Pequenos,4,59,4,True,59
2003-09,comerciais_leves,Pick-up's Grandes,11,0,11,True,0
2003-09,comerciais_leves,Pick-up's Pequenas,6,2,6,True,2
2003-10,automoveis,Veículos de Entrada,9,1,9,True,1
2003-11,automoveis,Grandcab,4,2,4,True,2
2003-11,automoveis,Hatch Médios,6,116,6,True,116
2003-11,automoveis,Hatch Pequenos,10,0,12,False,0
2003-11,automoveis,Monocab,10,0,11,False,0
2003-11,automoveis,Sedans Compactos,6,0,6,True,0
2003-11,automoveis,Sedans Grandes,12,1,12,True,1
2003-11,automoveis,Sedans Pequenos,8,1,10,False,0
2003-11,automoveis,Sedans médios,17,0,21,False,0
2003-11,automoveis,Sports,9,0,9,True,0
2003-11,automoveis,Suv's,40,0,40,True,0
2003-11,automoveis,Sw Grandes,9,0,13,False,0
2003-11,automoveis,Sw Médios,4,16,4,True,16
2003-11,automoveis,Veículos de Entrada,9,1,9,True,1
2003-11,comerciais_leves,Furgões,7,35,7,True,35
2003-11,comerciais_leves,Furgões Pequenos,4,31,4,True,31
2003-11,comerciais_leves,Pick-up's Grandes,11,0,11,True,0
2003-11,comerciais_leves,Pick-up's Pequenas,6,0,6,True,0
2003-12,automoveis,Grandcab,4,0,4,True,0
2003-12,automoveis,Hatch Médios,6,156,6,True,156
2003-12,automoveis,Hatch Pequenos,10,0,12,False,0
2003-12,automoveis,Monocab,10,0,11,False,0
2003-12,automoveis,Sedans Compactos,6,0,6,True,0
2003-12,automoveis,Sedans Grandes,12,0,12,True,0
2003-12,automoveis,Sedans Pequenos,9,0,10,False,0
2003-12,automoveis,Sedans médios,17,0,21,False,0
2003-12,automoveis,Sports,9,1,9,True,1
2003-12,automoveis,Suv's,40,0,40,True,0
2003-12,automoveis,Sw Grandes,9,0,13,False,0
2003-12,automoveis,Sw Médios,4,5,4,True,5
