marca,modelo,segmento,mes_ref,corte_publicacao,limiar_d3_do_modelo,pico
AGRALE,AGRALE MARRUA,comerciais_leves,2008-01,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2012-01,7,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2012-11,2,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2013-01,9,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2013-02,16,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2013-05,17,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2013-07,32,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2013-10,24,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2014-03,17,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2014-05,10,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2014-06,3,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2014-07,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2014-08,2,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2014-10,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2015-02,5,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2016-02,10,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2016-03,9,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2016-07,6,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2016-10,10,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2017-02,9,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2017-05,14,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2017-06,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2017-07,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2017-08,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2017-11,8,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2018-02,18,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2018-04,7,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2018-05,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2018-06,4,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2018-07,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2018-10,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2018-11,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2019-01,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2019-10,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2020-01,2,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2020-02,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2020-06,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2020-11,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2021-01,1,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2021-04,18,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2021-05,12,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2021-06,21,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2021-09,25,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2021-11,13,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2021-12,8,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-01,3,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-02,12,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-03,17,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-04,21,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-06,52,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-09,55,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-10,40,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-11,62,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2022-12,112,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2023-01,107,0.4,8.7
AGRALE,AGRALE MARRUA,comerciais_leves,2023-02,161,0.4,8.7
ALFA ROMEO,156,automoveis,2003-03,6,0.3,6.0
ALFA ROMEO,156,automoveis,2003-04,1,0.3,6.0
ALFA ROMEO,156,automoveis,2003-05,1,0.3,6.0
ALFA ROMEO,156,automoveis,2003-06,1,0.3,6.0
ALFA ROMEO,156,automoveis,2003-07,2,0.3,6.0
ALFA ROMEO,156,automoveis,2003-08,2,0.3,6.0
ALFA ROMEO,156,automoveis,2003-11,16,0.3,6.0
ALFA ROMEO,156,automoveis,2003-12,5,0.3,6.0
ALFA ROMEO,156,automoveis,2004-01,4,0.3,6.0
ALFA ROMEO,156,automoveis,2004-02,6,0.3,6.0
ALFA ROMEO,156,automoveis,2004-03,3,0.3,6.0
ALFA ROMEO,156,automoveis,2004-04,1,0.3,6.0
ALFA ROMEO,156,automoveis,2004-08,1,0.3,6.0
ALFA ROMEO,156,automoveis,2004-12,1,0.3,6.0
ALFA ROMEO,156,automoveis,2005-01,2,0.3,6.0
ALFA ROMEO,MONTREAL,automoveis,2010-01,1,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2011-01,3,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2011-03,5,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2011-05,1,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2011-06,1,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2011-07,1,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2011-11,1,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2011-12,3,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2012-01,19,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2012-02,7,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2012-03,15,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2012-04,8,0.0,0.1
ALFA ROMEO,MONTREAL,automoveis,2012-05,3,0.0,0.1
